Strategy report
Symbol: ONB
Work Time: 1/24/92 - 11/8/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;76.0;$13.11;1/24/92;;$0.00;76.0;
2;keepbusy_cross(SELL);Sell to Close;-76.0;$12.76;2/20/92;($26.68);($26.68);0.0;
3;keepbusy_cross(Buy);Buy to Open;42.0;$23.46;9/18/98;;($4.29);42.0;
4;keepbusy_cross(SELL);Sell to Close;-42.0;$23.89;10/29/98;$18.21;($8.47);0.0;
5;keepbusy_cross(Buy);Buy to Open;42.0;$23.46;1/2/01;;($18.75);42.0;
6;keepbusy_cross(SELL);Sell to Close;-42.0;$22.90;1/3/01;($23.67);($32.14);0.0;
7;keepbusy_cross(Buy);Buy to Open;40.0;$24.70;11/29/04;;($29.47);40.0;
8;keepbusy_cross(SELL);Sell to Close;-40.0;$23.94;12/8/04;($30.16);($62.30);0.0;
9;keepbusy_cross(Buy);Buy to Open;59.0;$16.78;2/1/08;;($48.73);59.0;
10;keepbusy_cross(SELL);Sell to Close;-59.0;$15.58;2/19/08;($70.59);($132.89);0.0;
11;keepbusy_cross(Buy);Buy to Open;91.0;$10.97;7/11/11;;($160.19);91.0;
12;keepbusy_cross(SELL);Sell to Close;-91.0;$10.74;7/12/11;($20.98);($153.87);0.0;
13;keepbusy_cross(Buy);Buy to Open;77.0;$12.97;3/16/12;;($157.72);77.0;
14;keepbusy_cross(SELL);Sell to Close;-77.0;$12.45;4/16/12;($40.31);($194.18);0.0;
15;keepbusy_cross(Buy);Buy to Open;76.0;$13.03;4/27/12;;($191.14);76.0;
16;keepbusy_cross(SELL);Sell to Close;-76.0;$12.35;5/7/12;($51.95);($246.13);0.0;
17;keepbusy_cross(Buy);Buy to Open;71.0;$13.89;6/28/13;;($250.39);71.0;
18;keepbusy_cross(SELL);Sell to Close;-71.0;$13.98;8/13/13;$6.39;($239.74);0.0;
19;keepbusy_cross(Buy);Buy to Open;67.0;$14.73;10/18/13;;($230.36);67.0;
20;keepbusy_cross(SELL);Sell to Close;-67.0;$15.04;1/7/14;$20.59;($219.15);0.0;
21;keepbusy_cross(Buy);Buy to Open;66.0;$15.00;4/4/14;;($237.63);66.0;
22;keepbusy_cross(SELL);Sell to Close;-66.0;$14.61;4/8/14;($25.48);($244.63);0.0;
23;keepbusy_cross(Buy);Buy to Open;70.0;$14.19;6/20/14;;($236.23);70.0;
24;keepbusy_cross(SELL);Sell to Close;-70.0;$14.05;6/24/14;($9.47);($254.09);0.0;
25;keepbusy_cross(Buy);Buy to Open;69.0;$14.33;10/31/14;;($238.91);69.0;
26;keepbusy_cross(SELL);Sell to Close;-69.0;$14.18;1/7/15;($10.39);($264.48);0.0;
27;keepbusy_cross(Buy);Buy to Open;69.0;$14.43;6/12/15;;($263.79);69.0;
28;keepbusy_cross(SELL);Sell to Close;-69.0;$14.09;7/7/15;($23.68);($288.17);0.0;
29;keepbusy_cross(Buy);Buy to Open;68.0;$14.54;11/6/15;;($260.97);68.0;
30;keepbusy_cross(SELL);Sell to Close;-68.0;$14.19;12/8/15;($23.62);($311.79);0.0;
31;keepbusy_cross(Buy);Buy to Open;53.0;$18.70;2/17/17;;($311.79);53.0;
32;keepbusy_cross(SELL);Sell to Close;-53.0;$18.03;3/9/17;($35.40);($347.19);0.0;
33;keepbusy_cross(Buy);Buy to Open;54.0;$18.25;12/1/17;;($347.19);54.0;
34;keepbusy_cross(SELL);Sell to Close;-54.0;$17.77;12/4/17;($26.05);($373.24);0.0;
35;keepbusy_cross(Buy);Buy to Open;59.0;$16.76;3/8/24;;($372.06);59.0;
36;keepbusy_cross(SELL);Sell to Close;-59.0;$16.59;3/13/24;($10.05);($383.29);0.0;
37;keepbusy_cross(Buy);Buy to Open;57.0;$17.41;4/1/24;;($426.61);57.0;
38;keepbusy_cross(SELL);Sell to Close;-57.0;$16.54;4/2/24;($49.50);($432.80);0.0;
39;keepbusy_cross(Buy);Buy to Open;55.0;$18.13;7/12/24;;($431.15);55.0;
40;keepbusy_cross(SELL);Sell to Close;-55.0;$17.57;8/6/24;($31.06);($463.86);0.0;
41;keepbusy_cross(Buy);Buy to Open;46.0;$21.51;11/8/24;;($448.22);46.0;


Max trade P/L: $20.59;

Total P/L: ($463.86);

Total order(s): 20;
