Strategy report
Symbol: ORCL
Work Time: 11/18/91 - 8/21/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;1177.0;$0.34;11/18/91;;$43.61;1177.0;
2;FReversalSwing(BUY);Buy to Open;1199.0;$0.33;12/2/91;;$44.08;2376.0;
3;FReversalSwing(BUY);Buy to Open;1258.0;$0.32;12/4/91;;($88.79);3634.0;
4;FReversalSwing(SELL);Sell to Close;-3634.0;$0.35;12/30/91;$57.04;$57.04;0.0;
5;FReversalSwing(BUY);Buy to Open;989.0;$0.40;8/25/92;;$69.26;989.0;
6;FReversalSwing(SELL);Sell to Close;-989.0;$0.45;9/2/92;$42.74;$99.79;0.0;
7;FReversalSwing(BUY);Buy to Open;835.0;$0.48;12/23/92;;$275.07;835.0;
8;FReversalSwing(SELL);Sell to Close;-835.0;$0.69;12/24/92;$175.28;$275.07;0.0;
9;FReversalSwing(BUY);Buy to Open;203.0;$1.96;11/23/94;;$267.55;203.0;
10;FReversalSwing(BUY);Buy to Open;207.0;$1.93;11/25/94;;$302.99;410.0;
11;FReversalSwing(BUY);Buy to Open;198.0;$2.01;11/28/94;;$310.50;608.0;
12;FReversalSwing(SELL);Sell to Close;-608.0;$2.09;12/22/94;$76.72;$351.79;0.0;
13;FReversalSwing(BUY);Buy to Open;183.0;$2.18;4/7/95;;$368.73;183.0;
14;FReversalSwing(BUY);Buy to Open;180.0;$2.21;4/21/95;;$361.93;363.0;
15;FReversalSwing(BUY);Buy to Open;186.0;$2.15;4/27/95;;$426.55;549.0;
16;FReversalSwing(SELL);Sell to Close;-549.0;$2.38;5/12/95;$110.35;$462.14;0.0;
17;FReversalSwing(BUY);Buy to Open;146.0;$2.73;10/10/95;;$463.49;146.0;
18;FReversalSwing(BUY);Buy to Open;145.0;$2.74;10/11/95;;$495.83;291.0;
19;FReversalSwing(SELL);Sell to Close;-291.0;$3.02;10/18/95;$83.54;$545.68;0.0;
20;FReversalSwing(BUY);Buy to Open;130.0;$3.06;12/19/95;;$579.39;130.0;
21;FReversalSwing(SELL);Sell to Close;-130.0;$3.30;1/19/96;$31.30;$576.99;0.0;
22;FReversalSwing(BUY);Buy to Open;118.0;$3.38;4/4/96;;$575.89;118.0;
23;FReversalSwing(BUY);Buy to Open;118.0;$3.37;4/8/96;;$536.55;236.0;
24;FReversalSwing(SELL);Sell to Close;-236.0;$3.56;4/22/96;$42.57;$619.56;0.0;
25;FReversalSwing(BUY);Buy to Open;102.0;$3.92;9/3/96;;$642.23;102.0;
26;FReversalSwing(SELL);Sell to Close;-102.0;$4.68;9/16/96;$77.92;$697.48;0.0;
27;FReversalSwing(BUY);Buy to Open;86.0;$4.63;12/31/96;;$698.08;86.0;
28;FReversalSwing(BUY);Buy to Open;86.0;$4.64;1/2/97;;$702.86;172.0;
29;FReversalSwing(BUY);Buy to Open;88.0;$4.54;1/13/97;;$684.97;260.0;
30;FReversalSwing(SELL);Sell to Close;-260.0;$3.95;3/10/97;($169.55);$527.94;0.0;
31;FReversalSwing(BUY);Buy to Open;68.0;$5.82;10/16/97;;$522.27;68.0;
32;FReversalSwing(BUY);Buy to Open;69.0;$5.74;10/17/97;;$516.56;137.0;
33;FReversalSwing(BUY);Buy to Open;70.0;$5.70;10/20/97;;$527.35;207.0;
34;FReversalSwing(SELL);Sell to Close;-207.0;$4.84;10/29/97;($189.33);$338.61;0.0;
35;FReversalSwing(BUY);Buy to Open;73.0;$5.42;11/13/97;;$349.26;73.0;
36;FReversalSwing(SELL);Sell to Close;-73.0;$4.97;12/4/97;($32.37);$306.24;0.0;
37;FReversalSwing(BUY);Buy to Open;61.0;$6.52;3/24/99;;$304.33;61.0;
38;FReversalSwing(BUY);Buy to Open;61.0;$6.48;3/25/99;;$327.20;122.0;
39;FReversalSwing(BUY);Buy to Open;59.0;$6.67;3/26/99;;$363.97;181.0;
40;FReversalSwing(SELL);Sell to Close;-181.0;$5.34;4/8/99;($220.34);$85.89;0.0;
41;FReversalSwing(BUY);Buy to Open;66.0;$6.03;4/15/99;;$98.27;66.0;
42;FReversalSwing(SELL);Sell to Close;-66.0;$7.17;4/27/99;$75.28;$161.18;0.0;
43;FReversalSwing(BUY);Buy to Open;33.0;$12.01;7/1/03;;$171.74;33.0;
44;FReversalSwing(BUY);Buy to Open;34.0;$11.69;7/22/03;;$176.08;67.0;
45;FReversalSwing(BUY);Buy to Open;34.0;$11.68;7/25/03;;$192.37;101.0;
46;FReversalSwing(SELL);Sell to Close;-101.0;$11.45;8/7/03;($34.24);$126.93;0.0;
47;FReversalSwing(BUY);Buy to Open;30.0;$13.27;2/5/04;;$135.63;30.0;
48;FReversalSwing(SELL);Sell to Close;-30.0;$14.06;2/19/04;$23.70;$150.63;0.0;
49;FReversalSwing(BUY);Buy to Open;30.0;$13.19;2/26/04;;$153.33;30.0;
50;FReversalSwing(BUY);Buy to Open;31.0;$12.87;3/1/04;;$153.84;61.0;
51;FReversalSwing(BUY);Buy to Open;30.0;$12.98;3/3/04;;$150.47;91.0;
52;FReversalSwing(SELL);Sell to Close;-91.0;$11.83;3/16/04;($107.39);$43.24;0.0;
53;FReversalSwing(BUY);Buy to Open;30.0;$12.96;2/18/05;;$42.64;30.0;
54;FReversalSwing(BUY);Buy to Open;30.0;$12.94;2/22/05;;$25.84;60.0;
55;FReversalSwing(BUY);Buy to Open;31.0;$12.66;2/23/05;;$52.23;91.0;
56;FReversalSwing(SELL);Sell to Close;-91.0;$13.60;3/8/05;$68.14;$111.38;0.0;
57;FReversalSwing(BUY);Buy to Open;31.0;$12.54;3/21/05;;$114.79;31.0;
58;FReversalSwing(BUY);Buy to Open;31.0;$12.65;3/22/05;;$104.87;62.0;
59;FReversalSwing(BUY);Buy to Open;32.0;$12.49;3/23/05;;$106.75;94.0;
60;FReversalSwing(SELL);Sell to Close;-94.0;$12.32;3/24/05;($22.49);$88.89;0.0;
61;FReversalSwing(BUY);Buy to Open;32.0;$12.40;3/28/05;;$89.85;32.0;
62;FReversalSwing(SELL);Sell to Close;-32.0;$12.35;3/29/05;($1.61);$87.28;0.0;
63;FReversalSwing(BUY);Buy to Open;32.0;$12.48;4/1/05;;$88.88;32.0;
64;FReversalSwing(SELL);Sell to Close;-32.0;$12.34;4/7/05;($4.39);$82.90;0.0;
65;FReversalSwing(BUY);Buy to Open;30.0;$13.09;8/19/05;;$82.30;30.0;
66;FReversalSwing(BUY);Buy to Open;30.0;$13.07;8/22/05;;$83.50;60.0;
67;FReversalSwing(BUY);Buy to Open;30.0;$13.09;8/23/05;;$84.40;90.0;
68;FReversalSwing(SELL);Sell to Close;-90.0;$13.39;9/6/05;$27.60;$110.50;0.0;
69;FReversalSwing(BUY);Buy to Open;29.0;$13.55;5/23/06;;$108.18;29.0;
70;FReversalSwing(BUY);Buy to Open;29.0;$13.47;5/24/06;;$126.16;58.0;
71;FReversalSwing(SELL);Sell to Close;-58.0;$14.22;6/1/06;$41.18;$151.68;0.0;
72;FReversalSwing(BUY);Buy to Open;29.0;$13.54;6/8/06;;$151.39;29.0;
73;FReversalSwing(BUY);Buy to Open;29.0;$13.53;6/9/06;;$147.91;58.0;
74;FReversalSwing(BUY);Buy to Open;29.0;$13.47;6/12/06;;$128.77;87.0;
75;FReversalSwing(SELL);Sell to Close;-87.0;$14.19;6/19/06;$58.87;$210.55;0.0;
76;FReversalSwing(BUY);Buy to Open;22.0;$17.50;12/8/06;;$217.15;22.0;
77;FReversalSwing(BUY);Buy to Open;22.0;$17.68;12/18/06;;$224.63;44.0;
78;FReversalSwing(BUY);Buy to Open;23.0;$17.10;12/20/06;;$188.99;67.0;
79;FReversalSwing(SELL);Sell to Close;-67.0;$17.18;3/20/07;($16.20);$194.35;0.0;
80;FReversalSwing(BUY);Buy to Open;20.0;$19.12;8/1/07;;$207.75;20.0;
81;FReversalSwing(SELL);Sell to Close;-20.0;$20.13;8/30/07;$20.20;$214.55;0.0;
82;FReversalSwing(BUY);Buy to Open;19.0;$20.75;10/22/07;;$223.10;19.0;
83;FReversalSwing(SELL);Sell to Close;-19.0;$22.17;11/1/07;$26.98;$241.53;0.0;
84;FReversalSwing(BUY);Buy to Open;19.0;$20.35;11/9/07;;$222.72;19.0;
85;FReversalSwing(BUY);Buy to Open;20.0;$19.44;11/13/07;;$266.36;39.0;
86;FReversalSwing(BUY);Buy to Open;20.0;$19.70;11/27/07;;$245.59;59.0;
87;FReversalSwing(SELL);Sell to Close;-59.0;$21.22;12/6/07;$82.53;$324.06;0.0;
88;FReversalSwing(BUY);Buy to Open;18.0;$21.29;6/30/08;;$318.84;18.0;
89;FReversalSwing(SELL);Sell to Close;-18.0;$22.21;8/6/08;$16.56;$340.62;0.0;
90;FReversalSwing(BUY);Buy to Open;18.0;$21.19;9/4/08;;$317.94;18.0;
