Strategy report
Symbol: PBA
Work Time: 8/25/06 - 6/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;65.0;$15.22;8/25/06;;$4.55;65.0;
2;keepbusy_cross(SELL);Sell to Close;-65.0;$12.71;11/2/06;($163.45);($163.45);0.0;
3;keepbusy_cross(Buy);Buy to Open;32.0;$30.31;3/8/13;;($161.85);32.0;
4;keepbusy_cross(SELL);Sell to Close;-32.0;$31.77;5/31/13;$46.82;($116.63);0.0;
5;keepbusy_cross(Buy);Buy to Open;29.0;$34.29;12/20/13;;($107.93);29.0;
6;keepbusy_cross(SELL);Sell to Close;-29.0;$41.70;8/1/14;$215.00;$98.37;0.0;
7;keepbusy_cross(Buy);Buy to Open;27.0;$36.10;11/10/17;;$90.27;27.0;
8;keepbusy_cross(SELL);Sell to Close;-27.0;$34.26;11/30/17;($49.68);$48.69;0.0;
9;keepbusy_cross(Buy);Buy to Open;27.0;$36.64;5/10/24;;$54.09;27.0;
10;keepbusy_cross(SELL);Sell to Close;-27.0;$35.99;6/18/24;($17.45);$31.24;0.0;


Max trade P/L: $215.00;

Total P/L: $31.24;

Total order(s): 5;
