Strategy report
Symbol: PEP
Work Time: 9/8/86 - 6/23/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;84.0;$4.73;9/8/86;;$7.00;84.0;
2;FReversalSwing(BUY);Buy to Open;83.0;$4.81;9/9/86;;$34.83;167.0;
3;FReversalSwing(BUY);Buy to Open;83.0;$4.79;9/11/86;;($43.35);250.0;
4;FReversalSwing(SELL);Sell to Close;-250.0;$4.73;10/30/86;($12.10);($12.10);0.0;
5;FReversalSwing(BUY);Buy to Open;78.0;$5.08;4/14/87;;($5.60);78.0;
6;FReversalSwing(BUY);Buy to Open;77.0;$5.17;4/15/87;;$7.31;155.0;
7;FReversalSwing(BUY);Buy to Open;76.0;$5.25;4/16/87;;$26.56;231.0;
8;FReversalSwing(SELL);Sell to Close;-231.0;$5.54;5/6/87;$86.78;$74.68;0.0;
9;FReversalSwing(BUY);Buy to Open;79.0;$5.04;5/20/87;;$92.78;79.0;
10;FReversalSwing(SELL);Sell to Close;-79.0;$5.48;5/26/87;$34.56;$109.24;0.0;
11;FReversalSwing(BUY);Buy to Open;63.0;$6.33;9/8/87;;$107.92;63.0;
12;FReversalSwing(BUY);Buy to Open;63.0;$6.31;9/9/87;;$105.30;126.0;
13;FReversalSwing(BUY);Buy to Open;63.0;$6.29;9/10/87;;$144.67;189.0;
14;FReversalSwing(SELL);Sell to Close;-189.0;$6.69;9/15/87;$70.87;$180.10;0.0;
15;FReversalSwing(BUY);Buy to Open;65.0;$6.12;10/12/87;;$176.04;65.0;
16;FReversalSwing(BUY);Buy to Open;65.0;$6.06;10/13/87;;$216.66;130.0;
17;FReversalSwing(BUY);Buy to Open;66.0;$6.00;10/16/87;;$78.09;196.0;
18;FReversalSwing(SELL);Sell to Close;-196.0;$5.08;10/20/87;($191.83);($11.73);0.0;
19;FReversalSwing(BUY);Buy to Open;62.0;$6.40;1/20/89;;($16.90);62.0;
20;FReversalSwing(BUY);Buy to Open;63.0;$6.31;1/23/89;;($16.90);125.0;
21;FReversalSwing(BUY);Buy to Open;63.0;$6.31;1/24/89;;$2.69;188.0;
22;FReversalSwing(SELL);Sell to Close;-188.0;$6.79;2/1/89;$84.91;$73.18;0.0;
23;FReversalSwing(BUY);Buy to Open;44.0;$9.00;10/16/89;;$96.09;44.0;
24;FReversalSwing(SELL);Sell to Close;-44.0;$10.10;10/20/89;$48.58;$121.76;0.0;
25;FReversalSwing(BUY);Buy to Open;40.0;$9.79;1/15/90;;$114.26;40.0;
26;FReversalSwing(BUY);Buy to Open;41.0;$9.60;1/16/90;;$142.94;81.0;
27;FReversalSwing(BUY);Buy to Open;40.0;$9.87;1/19/90;;$151.32;121.0;
28;FReversalSwing(SELL);Sell to Close;-121.0;$9.89;3/9/90;$16.96;$138.71;0.0;
29;FReversalSwing(BUY);Buy to Open;33.0;$12.04;8/7/90;;$142.15;33.0;
30;FReversalSwing(SELL);Sell to Close;-33.0;$13.14;8/16/90;$36.43;$175.15;0.0;
31;FReversalSwing(BUY);Buy to Open;32.0;$12.21;8/20/90;;$175.15;32.0;
32;FReversalSwing(BUY);Buy to Open;32.0;$12.21;8/21/90;;$145.82;64.0;
33;FReversalSwing(BUY);Buy to Open;34.0;$11.75;8/22/90;;$104.99;98.0;
34;FReversalSwing(SELL);Sell to Close;-98.0;$12.31;10/2/90;$25.91;$201.06;0.0;
35;FReversalSwing(BUY);Buy to Open;32.0;$12.50;1/4/91;;$199.06;32.0;
36;FReversalSwing(BUY);Buy to Open;32.0;$12.44;1/7/91;;$179.06;64.0;
37;FReversalSwing(BUY);Buy to Open;32.0;$12.25;1/14/91;;$181.06;96.0;
38;FReversalSwing(SELL);Sell to Close;-96.0;$13.44;1/18/91;$100.00;$301.06;0.0;
39;FReversalSwing(BUY);Buy to Open;26.0;$15.31;6/6/91;;$305.93;26.0;
40;FReversalSwing(BUY);Buy to Open;26.0;$15.13;6/11/91;;$302.68;52.0;
41;FReversalSwing(BUY);Buy to Open;26.0;$15.06;6/13/91;;$288.06;78.0;
42;FReversalSwing(SELL);Sell to Close;-78.0;$15.75;7/31/91;$45.50;$346.56;0.0;
43;FReversalSwing(BUY);Buy to Open;25.0;$15.94;2/11/92;;$351.25;25.0;
44;FReversalSwing(SELL);Sell to Close;-25.0;$16.44;3/23/92;$12.50;$359.06;0.0;
45;FReversalSwing(BUY);Buy to Open;19.0;$20.38;1/6/93;;$353.12;19.0;
46;FReversalSwing(BUY);Buy to Open;19.0;$20.06;1/7/93;;$331.75;38.0;
47;FReversalSwing(BUY);Buy to Open;20.0;$19.50;1/8/93;;$349.87;58.0;
48;FReversalSwing(SELL);Sell to Close;-58.0;$20.88;1/27/93;$52.44;$411.50;0.0;
49;FReversalSwing(BUY);Buy to Open;20.0;$19.69;2/10/93;;$415.25;20.0;
50;FReversalSwing(BUY);Buy to Open;20.0;$19.88;2/11/93;;$432.75;40.0;
51;FReversalSwing(BUY);Buy to Open;20.0;$19.75;2/16/93;;$410.25;60.0;
52;FReversalSwing(SELL);Sell to Close;-60.0;$20.69;3/8/93;$55.00;$466.50;0.0;
53;FReversalSwing(BUY);Buy to Open;20.0;$20.00;4/7/93;;$462.75;20.0;
54;FReversalSwing(BUY);Buy to Open;20.0;$19.81;4/8/93;;$450.25;40.0;
55;FReversalSwing(SELL);Sell to Close;-40.0;$18.06;4/21/93;($73.75);$392.75;0.0;
56;FReversalSwing(BUY);Buy to Open;20.0;$19.88;1/6/94;;$387.75;20.0;
57;FReversalSwing(BUY);Buy to Open;20.0;$19.63;1/7/94;;$405.25;40.0;
58;FReversalSwing(BUY);Buy to Open;20.0;$19.63;1/26/94;;$384.00;60.0;
59;FReversalSwing(SELL);Sell to Close;-60.0;$19.57;2/4/94;($8.54);$384.20;0.0;
60;FReversalSwing(BUY);Buy to Open;18.0;$21.94;7/6/95;;$385.33;18.0;
61;FReversalSwing(BUY);Buy to Open;18.0;$22.00;7/7/95;;$383.08;36.0;
62;FReversalSwing(BUY);Buy to Open;18.0;$21.94;7/10/95;;$386.45;54.0;
63;FReversalSwing(SELL);Sell to Close;-54.0;$23.31;7/27/95;$73.13;$457.33;0.0;
64;FReversalSwing(BUY);Buy to Open;17.0;$22.31;8/24/95;;$464.76;17.0;
65;FReversalSwing(SELL);Sell to Close;-17.0;$23.13;9/6/95;$13.81;$471.14;0.0;
66;FReversalSwing(BUY);Buy to Open;12.0;$32.00;7/16/96;;$466.64;12.0;
