Strategy report
Symbol: PRFZ
Work Time: 8/10/12 - 11/8/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;76.0;$13.00;8/10/12;;($0.76);76.0;
2;keepbusy_cross(SELL);Sell to Close;-76.0;$12.85;8/14/12;($11.73);($11.73);0.0;
3;keepbusy_cross(Buy);Buy to Open;62.0;$15.99;5/10/13;;($2.22);62.0;
4;keepbusy_cross(SELL);Sell to Close;-62.0;$15.88;6/24/13;($7.24);($18.97);0.0;
5;keepbusy_cross(Buy);Buy to Open;49.0;$20.22;2/6/15;;($19.95);49.0;
6;keepbusy_cross(SELL);Sell to Close;-49.0;$20.70;5/1/15;$23.50;$4.53;0.0;
7;keepbusy_cross(Buy);Buy to Open;45.0;$22.16;11/18/16;;$9.48;45.0;
8;keepbusy_cross(SELL);Sell to Close;-45.0;$23.04;2/9/17;$39.67;$44.20;0.0;
9;keepbusy_cross(Buy);Buy to Open;38.0;$26.12;9/13/19;;$46.32;38.0;
10;keepbusy_cross(SELL);Sell to Close;-38.0;$25.14;10/2/19;($37.03);$7.17;0.0;
11;keepbusy_cross(Buy);Buy to Open;25.0;$39.45;11/5/21;;$23.54;25.0;
12;keepbusy_cross(SELL);Sell to Close;-25.0;$37.33;11/29/21;($52.92);($45.75);0.0;
13;keepbusy_cross(Buy);Buy to Open;29.0;$34.17;6/9/23;;($54.05);29.0;
14;keepbusy_cross(SELL);Sell to Close;-29.0;$33.05;6/26/23;($32.42);($78.17);0.0;
15;keepbusy_cross(Buy);Buy to Open;24.0;$40.65;7/19/24;;($83.45);24.0;
16;keepbusy_cross(SELL);Sell to Close;-24.0;$39.07;8/5/24;($38.00);($116.17);0.0;
17;keepbusy_cross(Buy);Buy to Open;22.0;$44.07;11/8/24;;($111.00);22.0;


Max trade P/L: $39.67;

Total P/L: ($116.17);

Total order(s): 8;
