Strategy report
Symbol: PWV
Work Time: 4/21/06 - 11/4/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;57.0;$17.39;4/21/06;;($0.57);57.0;
2;keepbusy_cross(SELL);Sell to Close;-57.0;$17.15;5/16/06;($13.59);($13.59);0.0;
3;keepbusy_cross(Buy);Buy to Open;61.0;$16.29;11/13/09;;($6.27);61.0;
4;keepbusy_cross(SELL);Sell to Close;-61.0;$16.59;1/25/10;$18.35;$4.77;0.0;
5;keepbusy_cross(Buy);Buy to Open;58.0;$17.00;9/13/10;;$16.37;58.0;
6;keepbusy_cross(SELL);Sell to Close;-58.0;$17.67;11/30/10;$38.93;$43.70;0.0;
7;keepbusy_cross(Buy);Buy to Open;49.0;$20.36;4/29/11;;$43.70;49.0;
8;keepbusy_cross(SELL);Sell to Close;-49.0;$19.83;6/3/11;($25.79);$17.91;0.0;
9;keepbusy_cross(Buy);Buy to Open;34.0;$29.21;4/25/14;;$13.49;34.0;
10;keepbusy_cross(SELL);Sell to Close;-34.0;$30.26;8/1/14;$35.78;$53.69;0.0;
11;keepbusy_cross(Buy);Buy to Open;27.0;$36.49;6/14/19;;$50.99;27.0;
12;keepbusy_cross(SELL);Sell to Close;-27.0;$36.28;8/6/19;($5.67);$48.02;0.0;
13;keepbusy_cross(Buy);Buy to Open;26.0;$37.88;9/9/19;;$60.76;26.0;
14;keepbusy_cross(SELL);Sell to Close;-26.0;$36.92;10/3/19;($25.04);$22.98;0.0;
15;keepbusy_cross(Buy);Buy to Open;17.0;$58.44;9/20/24;;$21.59;17.0;
16;keepbusy_cross(SELL);Sell to Close;-17.0;$58.03;11/4/24;($6.91);$16.08;0.0;


Max trade P/L: $38.93;

Total P/L: $16.08;

Total order(s): 8;
