Strategy report
Symbol: PYPL
Work Time: 2/22/16 - 2/26/20


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;27.0;$35.76;2/22/16;;$6.48;27.0;
2;keepbusy_cross(SELL);Sell to Close;-27.0;$38.28;5/4/16;$68.16;$68.16;0.0;
3;keepbusy_cross(Buy);Buy to Open;24.0;$40.83;9/16/16;;$65.04;24.0;
4;keepbusy_cross(SELL);Sell to Close;-24.0;$39.91;11/11/16;($22.09);$46.07;0.0;
5;keepbusy_cross(Buy);Buy to Open;23.0;$42.15;2/17/17;;$41.70;23.0;
6;keepbusy_cross(SELL);Sell to Close;-23.0;$42.07;4/13/17;($1.78);$44.28;0.0;
7;keepbusy_cross(Buy);Buy to Open;11.0;$87.38;8/24/18;;$74.20;11.0;
8;keepbusy_cross(SELL);Sell to Close;-11.0;$88.27;10/1/18;$9.75;$54.03;0.0;
9;keepbusy_cross(Buy);Buy to Open;11.0;$90.70;1/11/19;;$53.48;11.0;
10;keepbusy_cross(SELL);Sell to Close;-11.0;$106.95;6/4/19;$178.71;$232.74;0.0;
11;keepbusy_cross(Buy);Buy to Open;9.0;$108.88;12/20/19;;$231.57;9.0;
12;keepbusy_cross(SELL);Sell to Close;-9.0;$112.88;2/26/20;$36.01;$268.75;0.0;


Max trade P/L: $178.71;

Total P/L: $268.75;

Total order(s): 6;
