Strategy report
Symbol: QLYS
Work Time: 5/17/13 - 9/26/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;72.0;$13.85;5/17/13;;($13.68);72.0;
2;keepbusy_cross(SELL);Sell to Close;-72.0;$20.48;10/24/13;$477.17;$477.17;0.0;
3;keepbusy_cross(Buy);Buy to Open;39.0;$25.25;1/10/14;;$507.59;39.0;
4;keepbusy_cross(SELL);Sell to Close;-39.0;$23.61;2/12/14;($64.00);$413.17;0.0;
5;keepbusy_cross(Buy);Buy to Open;14.0;$71.20;2/16/18;;$427.87;14.0;
6;keepbusy_cross(SELL);Sell to Close;-14.0;$69.39;5/3/18;($25.37);$387.80;0.0;
7;keepbusy_cross(Buy);Buy to Open;11.0;$87.26;4/26/19;;$397.37;11.0;
8;keepbusy_cross(SELL);Sell to Close;-11.0;$84.38;5/13/19;($31.69);$356.11;0.0;
9;keepbusy_cross(Buy);Buy to Open;11.0;$88.70;7/12/19;;$364.47;11.0;
10;keepbusy_cross(SELL);Sell to Close;-11.0;$87.82;7/19/19;($9.67);$346.44;0.0;
11;keepbusy_cross(Buy);Buy to Open;9.0;$109.49;7/10/20;;$351.12;9.0;
12;keepbusy_cross(SELL);Sell to Close;-9.0;$106.30;7/15/20;($28.71);$317.73;0.0;
13;keepbusy_cross(Buy);Buy to Open;9.0;$104.95;12/18/20;;$494.04;9.0;
14;keepbusy_cross(SELL);Sell to Close;-9.0;$106.21;2/12/21;$11.31;$329.04;0.0;
15;keepbusy_cross(Buy);Buy to Open;7.0;$141.39;3/25/22;;$317.98;7.0;
16;keepbusy_cross(SELL);Sell to Close;-7.0;$133.17;5/4/22;($57.53);$271.50;0.0;
17;keepbusy_cross(Buy);Buy to Open;6.0;$145.39;8/12/22;;$295.86;6.0;
18;keepbusy_cross(SELL);Sell to Close;-6.0;$140.62;9/26/22;($28.65);$242.86;0.0;


Max trade P/L: $477.17;

Total P/L: $242.86;

Total order(s): 9;
