Strategy report
Symbol: QTWO
Work Time: 2/13/15 - 8/6/19


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;52.0;$19.08;2/13/15;;$85.80;52.0;
2;keepbusy_cross(SELL);Sell to Close;-52.0;$19.59;4/13/15;$26.76;$26.76;0.0;
3;keepbusy_cross(SELL);Sell to Close;-46.0;$20.60;5/8/15;($44.90);($105.54);-46.0;
4;keepbusy_cross(Buy);Buy to Open;46.0;$21.58;5/8/15;;($18.14);0.0;
5;keepbusy_cross(Buy);Buy to Open;33.0;$29.90;11/11/16;;$54.46;33.0;
6;keepbusy_cross(SELL);Sell to Close;-33.0;$28.63;12/2/16;($41.90);($60.04);0.0;
7;keepbusy_cross(Buy);Buy to Open;30.0;$32.30;1/27/17;;($46.54);30.0;
8;keepbusy_cross(SELL);Sell to Close;-30.0;$37.59;6/13/17;$158.60;$98.56;0.0;
9;keepbusy_cross(Buy);Buy to Open;24.0;$41.00;9/29/17;;$114.16;24.0;
10;keepbusy_cross(SELL);Sell to Close;-24.0;$39.54;11/3/17;($35.12);$63.44;0.0;
11;keepbusy_cross(Buy);Buy to Open;12.0;$78.14;6/21/19;;$59.36;12.0;
12;keepbusy_cross(SELL);Sell to Close;-12.0;$73.60;8/6/19;($54.49);$8.95;0.0;


Max trade P/L: $158.60;

Total P/L: $8.95;

Total order(s): 6;
