Strategy report
Symbol: RDVY
Work Time: 8/26/14 - 9/20/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;46.0;$21.55;8/26/14;;$3.73;46.0;
2;keepbusy_cross(SELL);Sell to Close;-46.0;$21.23;9/24/14;($14.76);($14.76);0.0;
3;keepbusy_cross(Buy);Buy to Open;31.0;$31.38;8/24/18;;($12.59);31.0;
4;keepbusy_cross(SELL);Sell to Close;-31.0;$31.17;10/8/18;($6.56);($21.32);0.0;
5;keepbusy_cross(Buy);Buy to Open;30.0;$32.36;9/13/19;;($17.72);30.0;
6;keepbusy_cross(SELL);Sell to Close;-30.0;$30.83;10/3/19;($45.85);($67.17);0.0;
7;keepbusy_cross(Buy);Buy to Open;23.0;$42.89;10/28/22;;($43.48);23.0;
8;keepbusy_cross(SELL);Sell to Close;-23.0;$42.15;11/4/22;($17.02);($84.19);0.0;
9;keepbusy_cross(Buy);Buy to Open;21.0;$46.63;6/9/23;;($86.92);21.0;
10;keepbusy_cross(SELL);Sell to Close;-21.0;$47.34;8/18/23;$14.96;($69.23);0.0;
11;keepbusy_cross(Buy);Buy to Open;17.0;$57.02;8/23/24;;($51.89);17.0;
12;keepbusy_cross(SELL);Sell to Close;-17.0;$56.16;9/9/24;($14.63);($83.86);0.0;
13;keepbusy_cross(Buy);Buy to Open;16.0;$59.24;9/20/24;;($91.70);16.0;


Max trade P/L: $14.96;

Total P/L: ($83.86);

Total order(s): 6;
