Strategy report
Symbol: RHHBY
Work Time: 12/27/05 - 11/15/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;10.0;$37.10;12/27/05;;($0.50);10.0;
2;FReversalSwing(BUY);Buy to Open;10.0;$37.05;12/28/05;;$7.00;20.0;
3;FReversalSwing(SELL);Sell to Close;-20.0;$38.48;1/4/06;$28.00;$28.00;0.0;
4;FReversalSwing(BUY);Buy to Open;10.0;$37.00;2/7/06;;$27.50;10.0;
5;FReversalSwing(BUY);Buy to Open;10.0;$36.95;2/8/06;;$39.00;20.0;
6;FReversalSwing(BUY);Buy to Open;10.0;$36.42;2/14/06;;$38.00;30.0;
7;FReversalSwing(SELL);Sell to Close;-30.0;$37.98;3/6/06;$35.50;$63.50;0.0;
8;FReversalSwing(BUY);Buy to Open;10.0;$36.78;3/29/06;;$67.50;10.0;
9;FReversalSwing(BUY);Buy to Open;10.0;$36.38;4/10/06;;$64.00;20.0;
10;FReversalSwing(SELL);Sell to Close;-20.0;$38.15;4/28/06;$31.50;$95.00;0.0;
11;FReversalSwing(BUY);Buy to Open;9.0;$43.00;9/12/06;;$104.00;9.0;
12;FReversalSwing(BUY);Buy to Open;9.0;$42.80;9/15/06;;$84.65;18.0;
13;FReversalSwing(BUY);Buy to Open;9.0;$42.33;9/18/06;;$102.88;27.0;
14;FReversalSwing(SELL);Sell to Close;-27.0;$44.03;11/1/06;$35.55;$130.55;0.0;
15;FReversalSwing(BUY);Buy to Open;9.0;$44.00;6/11/07;;$133.92;9.0;
16;FReversalSwing(BUY);Buy to Open;9.0;$44.38;6/12/07;;$129.42;18.0;
17;FReversalSwing(BUY);Buy to Open;9.0;$44.13;6/13/07;;$111.88;27.0;
18;FReversalSwing(SELL);Sell to Close;-27.0;$45.05;7/5/07;$23.85;$154.40;0.0;
19;FReversalSwing(BUY);Buy to Open;8.0;$45.28;4/10/08;;$150.40;8.0;
20;FReversalSwing(SELL);Sell to Close;-8.0;$41.60;4/16/08;($29.40);$125.00;0.0;
21;FReversalSwing(BUY);Buy to Open;19.0;$20.39;6/16/11;;$127.18;19.0;
22;FReversalSwing(BUY);Buy to Open;19.0;$20.21;7/12/11;;$133.83;38.0;
23;FReversalSwing(SELL);Sell to Close;-38.0;$20.95;7/18/11;$24.79;$149.79;0.0;
24;FReversalSwing(BUY);Buy to Open;19.0;$20.13;8/9/11;;$173.92;19.0;
25;FReversalSwing(BUY);Buy to Open;20.0;$19.98;8/11/11;;$150.26;39.0;
26;FReversalSwing(BUY);Buy to Open;19.0;$20.06;8/12/11;;$166.50;58.0;
27;FReversalSwing(SELL);Sell to Close;-58.0;$21.92;9/1/11;$108.35;$258.14;0.0;
28;FReversalSwing(BUY);Buy to Open;20.0;$19.88;9/12/11;;$252.14;20.0;
29;FReversalSwing(BUY);Buy to Open;20.0;$19.58;9/13/11;;$245.74;40.0;
30;FReversalSwing(BUY);Buy to Open;20.0;$19.70;9/15/11;;$275.14;60.0;
31;FReversalSwing(SELL);Sell to Close;-60.0;$18.94;9/20/11;($46.84);$211.30;0.0;
32;FReversalSwing(BUY);Buy to Open;19.0;$20.94;4/11/12;;$212.44;19.0;
33;FReversalSwing(BUY);Buy to Open;19.0;$21.00;4/12/12;;$232.01;38.0;
34;FReversalSwing(SELL);Sell to Close;-38.0;$22.03;4/18/12;$40.28;$251.58;0.0;
35;FReversalSwing(BUY);Buy to Open;18.0;$21.37;5/9/12;;$249.15;18.0;
36;FReversalSwing(BUY);Buy to Open;18.0;$21.24;5/10/12;;$243.57;36.0;
37;FReversalSwing(BUY);Buy to Open;18.0;$21.08;5/11/12;;$240.87;54.0;
38;FReversalSwing(SELL);Sell to Close;-54.0;$20.10;5/21/12;($61.17);$190.42;0.0;
39;FReversalSwing(BUY);Buy to Open;17.0;$23.28;11/16/12;;$187.10;17.0;
40;FReversalSwing(BUY);Buy to Open;17.0;$23.08;11/19/12;;$203.25;34.0;
41;FReversalSwing(SELL);Sell to Close;-34.0;$24.25;11/29/12;$36.57;$226.99;0.0;
42;FReversalSwing(BUY);Buy to Open;13.0;$29.96;6/21/13;;$219.45;13.0;
43;FReversalSwing(BUY);Buy to Open;13.0;$29.38;6/24/13;;$207.62;26.0;
44;FReversalSwing(BUY);Buy to Open;13.0;$28.92;6/25/13;;$225.36;39.0;
45;FReversalSwing(SELL);Sell to Close;-39.0;$31.26;7/10/13;$71.69;$298.68;0.0;
46;FReversalSwing(BUY);Buy to Open;12.0;$31.13;9/3/13;;$299.76;12.0;
47;FReversalSwing(SELL);Sell to Close;-12.0;$32.23;9/12/13;$13.20;$311.88;0.0;
48;FReversalSwing(BUY);Buy to Open;11.0;$33.58;12/12/13;;$307.48;11.0;
49;FReversalSwing(BUY);Buy to Open;12.0;$33.17;12/13/13;;$302.54;23.0;
50;FReversalSwing(BUY);Buy to Open;12.0;$32.96;12/16/13;;$309.97;35.0;
51;FReversalSwing(SELL);Sell to Close;-35.0;$34.43;12/26/13;$42.10;$353.99;0.0;
52;FReversalSwing(BUY);Buy to Open;12.0;$33.26;1/28/14;;$360.77;12.0;
53;FReversalSwing(BUY);Buy to Open;12.0;$33.30;1/30/14;;$386.63;24.0;
54;FReversalSwing(SELL);Sell to Close;-24.0;$35.53;2/10/14;$53.94;$407.93;0.0;
55;FReversalSwing(BUY);Buy to Open;11.0;$35.42;4/14/14;;$416.51;11.0;
56;FReversalSwing(SELL);Sell to Close;-11.0;$36.75;5/15/14;$14.63;$422.56;0.0;
57;FReversalSwing(BUY);Buy to Open;11.0;$36.01;8/5/14;;$422.50;11.0;
58;FReversalSwing(BUY);Buy to Open;11.0;$36.00;8/6/14;;$419.20;22.0;
59;FReversalSwing(SELL);Sell to Close;-22.0;$36.76;9/4/14;$16.66;$439.22;0.0;
60;FReversalSwing(BUY);Buy to Open;12.0;$32.61;6/6/17;;$434.66;12.0;
61;FReversalSwing(BUY);Buy to Open;12.0;$32.23;6/7/17;;$431.30;24.0;
62;FReversalSwing(SELL);Sell to Close;-24.0;$31.45;6/8/17;($23.18);$416.05;0.0;
63;FReversalSwing(BUY);Buy to Open;12.0;$31.90;6/9/17;;$417.37;12.0;
64;FReversalSwing(BUY);Buy to Open;12.0;$32.01;6/12/17;;$426.01;24.0;
65;FReversalSwing(BUY);Buy to Open;12.0;$32.23;6/15/17;;$422.71;36.0;
66;FReversalSwing(SELL);Sell to Close;-36.0;$31.36;7/7/17;($24.66);$391.39;0.0;
67;FReversalSwing(BUY);Buy to Open;12.0;$33.09;4/15/19;;$396.79;12.0;
68;FReversalSwing(BUY);Buy to Open;12.0;$33.06;4/17/19;;$382.87;24.0;
69;FReversalSwing(BUY);Buy to Open;12.0;$32.72;4/18/19;;$381.79;36.0;
70;FReversalSwing(SELL);Sell to Close;-36.0;$33.51;5/23/19;$19.92;$411.31;0.0;
71;FReversalSwing(BUY);Buy to Open;11.0;$33.34;7/15/19;;$413.62;11.0;
72;FReversalSwing(BUY);Buy to Open;11.0;$33.55;7/16/19;;$416.04;22.0;
73;FReversalSwing(BUY);Buy to Open;11.0;$33.66;7/17/19;;$432.87;33.0;
74;FReversalSwing(SELL);Sell to Close;-33.0;$34.60;8/9/19;$35.75;$447.06;0.0;
75;FReversalSwing(BUY);Buy to Open;9.0;$40.78;2/28/20;;$439.00;9.0;
76;FReversalSwing(BUY);Buy to Open;10.0;$39.89;3/2/20;;$463.89;19.0;
77;FReversalSwing(SELL);Sell to Close;-19.0;$43.64;3/5/20;$63.20;$510.25;0.0;
78;FReversalSwing(BUY);Buy to Open;10.0;$39.58;3/10/20;;$523.55;10.0;
79;FReversalSwing(BUY);Buy to Open;10.0;$39.17;3/12/20;;$435.95;20.0;
80;FReversalSwing(SELL);Sell to Close;-20.0;$41.65;4/3/20;$45.50;$555.75;0.0;
81;FReversalSwing(BUY);Buy to Open;9.0;$42.17;8/12/20;;$566.55;9.0;
82;FReversalSwing(SELL);Sell to Close;-9.0;$44.49;8/21/20;$20.88;$576.63;0.0;
83;FReversalSwing(BUY);Buy to Open;9.0;$43.37;9/30/20;;$571.59;9.0;
84;FReversalSwing(BUY);Buy to Open;9.0;$42.81;10/1/20;;$571.23;18.0;
85;FReversalSwing(BUY);Buy to Open;9.0;$42.93;10/7/20;;$567.00;27.0;
86;FReversalSwing(SELL);Sell to Close;-27.0;$44.20;11/5/20;$31.41;$608.04;0.0;
87;FReversalSwing(BUY);Buy to Open;8.0;$48.49;9/9/21;;$597.64;8.0;
88;FReversalSwing(BUY);Buy to Open;8.0;$47.19;9/10/21;;$589.64;16.0;
89;FReversalSwing(BUY);Buy to Open;8.0;$46.69;9/13/21;;$580.52;24.0;
90;FReversalSwing(SELL);Sell to Close;-24.0;$48.05;10/8/21;$14.24;$622.28;0.0;
91;FReversalSwing(BUY);Buy to Open;8.0;$48.14;11/24/21;;$623.80;8.0;
92;FReversalSwing(SELL);Sell to Close;-8.0;$49.73;12/7/21;$12.72;$635.00;0.0;
93;FReversalSwing(BUY);Buy to Open;8.0;$47.80;1/25/22;;$629.80;8.0;
94;FReversalSwing(BUY);Buy to Open;8.0;$47.70;1/28/22;;$643.96;16.0;
95;FReversalSwing(SELL);Sell to Close;-16.0;$45.51;3/7/22;($35.82);$599.18;0.0;
96;FReversalSwing(BUY);Buy to Open;10.0;$39.11;9/10/24;;$605.28;10.0;
97;FReversalSwing(BUY);Buy to Open;10.0;$37.33;9/12/24;;$608.98;20.0;
98;FReversalSwing(BUY);Buy to Open;10.0;$38.28;10/4/24;;$585.08;30.0;
99;FReversalSwing(SELL);Sell to Close;-30.0;$40.20;10/24/24;$58.80;$657.98;0.0;
100;FReversalSwing(BUY);Buy to Open;10.0;$37.77;11/7/24;;$661.98;10.0;
101;FReversalSwing(BUY);Buy to Open;10.0;$37.61;11/11/24;;$656.58;20.0;
102;FReversalSwing(BUY);Buy to Open;10.0;$37.62;11/12/24;;$648.48;30.0;
103;FReversalSwing(SELL);Sell to Close;-30.0;$36.11;11/15/24;($46.78);$611.20;0.0;


Max trade P/L: $108.35;

Total P/L: $611.20;

Total order(s): 31;
