Strategy report
Symbol: RHHVF
Work Time: 3/29/10 - 11/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;2.0;$160.25;3/29/10;;($0.50);2.0;
2;FReversalSwing(BUY);Buy to Open;2.0;$160.00;3/30/10;;($0.50);4.0;
3;FReversalSwing(BUY);Buy to Open;2.0;$160.00;3/31/10;;$9.60;6.0;
4;FReversalSwing(SELL);Sell to Close;-6.0;$157.10;4/8/10;($17.90);($17.90);0.0;
5;FReversalSwing(BUY);Buy to Open;2.0;$161.55;7/12/11;;($12.52);2.0;
6;FReversalSwing(SELL);Sell to Close;-2.0;$168.10;7/20/11;$13.10;($4.80);0.0;
7;FReversalSwing(BUY);Buy to Open;2.0;$161.75;8/9/11;;$7.70;2.0;
8;FReversalSwing(BUY);Buy to Open;2.0;$160.50;8/11/11;;($7.70);4.0;
9;FReversalSwing(BUY);Buy to Open;2.0;$160.40;8/12/11;;$8.50;6.0;
10;FReversalSwing(SELL);Sell to Close;-6.0;$175.50;9/1/11;$87.70;$82.90;0.0;
11;FReversalSwing(BUY);Buy to Open;2.0;$158.59;9/12/11;;$76.42;2.0;
12;FReversalSwing(SELL);Sell to Close;-2.0;$153.64;9/14/11;($9.90);$73.00;0.0;
13;FReversalSwing(BUY);Buy to Open;2.0;$156.20;9/15/11;;$78.30;2.0;
14;FReversalSwing(SELL);Sell to Close;-2.0;$151.80;9/20/11;($8.80);$64.20;0.0;
15;FReversalSwing(BUY);Buy to Open;2.0;$168.14;4/11/12;;$63.40;2.0;
16;FReversalSwing(BUY);Buy to Open;2.0;$167.74;4/13/12;;$76.76;4.0;
17;FReversalSwing(SELL);Sell to Close;-4.0;$177.25;4/19/12;$37.24;$101.44;0.0;
18;FReversalSwing(BUY);Buy to Open;2.0;$170.40;5/9/12;;$100.14;2.0;
19;FReversalSwing(BUY);Buy to Open;2.0;$169.75;5/10/12;;$96.14;4.0;
20;FReversalSwing(BUY);Buy to Open;2.0;$168.75;5/14/12;;$75.44;6.0;
21;FReversalSwing(SELL);Sell to Close;-6.0;$158.82;5/29/12;($64.86);$36.58;0.0;
22;FReversalSwing(BUY);Buy to Open;1.0;$233.22;6/24/13;;$33.20;1.0;
23;FReversalSwing(BUY);Buy to Open;1.0;$229.84;6/25/13;;$43.02;2.0;
24;FReversalSwing(BUY);Buy to Open;1.0;$234.75;6/26/13;;$61.17;3.0;
25;FReversalSwing(SELL);Sell to Close;-3.0;$254.54;7/11/13;$65.81;$102.39;0.0;
26;FReversalSwing(BUY);Buy to Open;1.0;$255.25;10/10/13;;$106.40;1.0;
27;FReversalSwing(SELL);Sell to Close;-1.0;$264.70;10/16/13;$9.45;$111.84;0.0;
28;FReversalSwing(BUY);Buy to Open;1.0;$268.50;12/5/13;;$117.30;1.0;
29;FReversalSwing(BUY);Buy to Open;1.0;$265.25;12/13/13;;$104.43;2.0;
30;FReversalSwing(BUY);Buy to Open;1.0;$263.17;12/16/13;;$109.74;3.0;
31;FReversalSwing(SELL);Sell to Close;-3.0;$274.96;12/26/13;$27.96;$139.80;0.0;
32;FReversalSwing(BUY);Buy to Open;1.0;$268.48;1/28/14;;$140.32;1.0;
33;FReversalSwing(BUY);Buy to Open;1.0;$268.25;1/30/14;;$153.71;2.0;
34;FReversalSwing(SELL);Sell to Close;-2.0;$283.39;2/10/14;$30.05;$169.85;0.0;
35;FReversalSwing(BUY);Buy to Open;1.0;$284.64;4/14/14;;$175.46;1.0;
36;FReversalSwing(SELL);Sell to Close;-1.0;$294.70;5/15/14;$10.06;$179.91;0.0;
37;FReversalSwing(BUY);Buy to Open;1.0;$288.15;8/5/14;;$179.67;1.0;
38;FReversalSwing(BUY);Buy to Open;1.0;$287.91;8/6/14;;$178.53;2.0;
39;FReversalSwing(SELL);Sell to Close;-2.0;$293.00;8/27/14;$9.94;$189.85;0.0;
40;FReversalSwing(BUY);Buy to Open;1.0;$255.20;6/6/17;;$192.80;1.0;
41;FReversalSwing(BUY);Buy to Open;1.0;$258.15;6/7/17;;$190.50;2.0;
42;FReversalSwing(BUY);Buy to Open;1.0;$257.00;6/8/17;;$188.58;3.0;
43;FReversalSwing(SELL);Sell to Close;-3.0;$250.40;7/10/17;($19.15);$170.70;0.0;
44;FReversalSwing(BUY);Buy to Open;1.0;$251.55;7/13/17;;$169.55;1.0;
45;FReversalSwing(SELL);Sell to Close;-1.0;$250.89;7/14/17;($0.66);$170.04;0.0;
46;FReversalSwing(BUY);Buy to Open;1.0;$265.78;4/15/19;;$170.51;1.0;
47;FReversalSwing(BUY);Buy to Open;1.0;$266.25;4/16/19;;$163.83;2.0;
48;FReversalSwing(BUY);Buy to Open;1.0;$262.91;4/17/19;;$161.31;3.0;
49;FReversalSwing(SELL);Sell to Close;-3.0;$268.39;5/23/19;$10.23;$180.27;0.0;
50;FReversalSwing(BUY);Buy to Open;1.0;$266.00;7/15/19;;$181.67;1.0;
51;FReversalSwing(BUY);Buy to Open;1.0;$267.40;7/16/19;;$182.97;2.0;
52;FReversalSwing(BUY);Buy to Open;1.0;$268.05;7/17/19;;$198.90;3.0;
53;FReversalSwing(SELL);Sell to Close;-3.0;$275.25;8/9/19;$24.30;$204.57;0.0;
54;FReversalSwing(BUY);Buy to Open;1.0;$324.40;2/28/20;;$205.77;1.0;
55;FReversalSwing(BUY);Buy to Open;1.0;$325.60;3/2/20;;$209.11;2.0;
56;FReversalSwing(SELL);Sell to Close;-2.0;$348.99;3/5/20;$47.98;$252.55;0.0;
57;FReversalSwing(BUY);Buy to Open;1.0;$312.10;3/10/20;;$257.95;1.0;
58;FReversalSwing(BUY);Buy to Open;1.0;$299.00;3/13/20;;$291.45;2.0;
59;FReversalSwing(SELL);Sell to Close;-2.0;$333.05;4/7/20;$55.00;$307.55;0.0;
60;FReversalSwing(BUY);Buy to Open;1.0;$376.51;9/10/21;;$301.94;1.0;
61;FReversalSwing(BUY);Buy to Open;1.0;$370.90;9/13/21;;$302.14;2.0;
62;FReversalSwing(BUY);Buy to Open;1.0;$371.00;9/14/21;;$313.30;3.0;
63;FReversalSwing(SELL);Sell to Close;-3.0;$400.76;10/11/21;$83.87;$391.42;0.0;
64;FReversalSwing(BUY);Buy to Open;1.0;$382.00;1/26/22;;$382.77;1.0;
65;FReversalSwing(BUY);Buy to Open;1.0;$379.51;1/28/22;;$396.41;2.0;
66;FReversalSwing(SELL);Sell to Close;-2.0;$362.45;2/15/22;($36.62);$354.80;0.0;
67;FReversalSwing(BUY);Buy to Open;1.0;$311.92;9/10/24;;$357.62;1.0;
68;FReversalSwing(BUY);Buy to Open;1.0;$306.00;9/13/24;;$353.70;2.0;
69;FReversalSwing(BUY);Buy to Open;1.0;$308.41;9/16/24;;$366.97;3.0;
70;FReversalSwing(SELL);Sell to Close;-3.0;$321.00;10/24/24;$36.66;$391.47;0.0;
71;FReversalSwing(BUY);Buy to Open;1.0;$302.20;11/7/24;;$392.10;1.0;
72;FReversalSwing(BUY);Buy to Open;1.0;$302.82;11/8/24;;$386.13;2.0;
73;FReversalSwing(BUY);Buy to Open;1.0;$299.84;11/11/24;;$386.88;3.0;
74;FReversalSwing(SELL);Sell to Close;-3.0;$285.30;11/18/24;($48.96);$342.51;0.0;


Max trade P/L: $87.70;

Total P/L: $342.51;

Total order(s): 23;
