Strategy report
Symbol: RNG
Work Time: 11/6/15 - 10/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;47.0;$21.23;11/6/15;;($36.19);47.0;
2;keepbusy_cross(SELL);Sell to Close;-47.0;$21.85;1/7/16;$29.14;$29.14;0.0;
3;keepbusy_cross(Buy);Buy to Open;43.0;$23.25;1/27/17;;$76.44;43.0;
4;keepbusy_cross(SELL);Sell to Close;-43.0;$22.23;2/9/17;($43.99);($14.85);0.0;
5;keepbusy_cross(Buy);Buy to Open;19.0;$51.60;1/12/18;;($0.60);19.0;
6;keepbusy_cross(SELL);Sell to Close;-19.0;$49.28;2/7/18;($44.14);($59.00);0.0;
7;keepbusy_cross(Buy);Buy to Open;11.0;$87.05;8/10/18;;($52.95);11.0;
8;keepbusy_cross(SELL);Sell to Close;-11.0;$87.50;10/3/18;$4.93;($54.07);0.0;
9;keepbusy_cross(Buy);Buy to Open;3.0;$259.70;5/8/20;;($32.98);3.0;
10;keepbusy_cross(SELL);Sell to Close;-3.0;$263.88;7/14/20;$12.54;($41.52);0.0;
11;keepbusy_cross(Buy);Buy to Open;2.0;$337.21;12/4/20;;($50.34);2.0;
12;keepbusy_cross(SELL);Sell to Close;-2.0;$378.65;2/24/21;$82.88;$41.36;0.0;
13;keepbusy_cross(Buy);Buy to Open;27.0;$36.58;5/17/24;;$50.54;27.0;
14;keepbusy_cross(SELL);Sell to Close;-27.0;$33.43;6/3/24;($85.08);($43.73);0.0;
15;keepbusy_cross(Buy);Buy to Open;30.0;$32.96;10/18/24;;($14.63);30.0;


Max trade P/L: $82.88;

Total P/L: ($43.73);

Total order(s): 7;
