Strategy report
Symbol: ROIC
Work Time: 3/20/15 - 4/25/17


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;55.0;$17.97;3/20/15;;$28.05;55.0;
2;keepbusy_cross(SELL);Sell to Close;-55.0;$17.59;4/14/15;($21.00);($21.00);0.0;
3;keepbusy_cross(Buy);Buy to Open;60.0;$16.58;9/25/15;;($18.60);60.0;
4;keepbusy_cross(SELL);Sell to Close;-60.0;$16.33;9/29/15;($15.03);($36.03);0.0;
5;keepbusy_cross(Buy);Buy to Open;46.0;$21.30;1/9/17;;($55.81);46.0;
6;keepbusy_cross(SELL);Sell to Close;-46.0;$20.98;1/10/17;($14.91);($50.94);0.0;
7;keepbusy_cross(Buy);Buy to Open;46.0;$21.44;4/17/17;;($38.98);46.0;
8;keepbusy_cross(SELL);Sell to Close;-46.0;$21.11;4/25/17;($15.14);($66.08);0.0;


Max trade P/L: ($14.91);

Total P/L: ($66.08);

Total order(s): 4;
