Strategy report
Symbol: SAPGF
Work Time: 5/9/12 - 11/2/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;6.0;$61.10;5/9/12;;$3.36;6.0;
2;FReversalSwing(BUY);Buy to Open;6.0;$61.66;5/16/12;;($12.96);12.0;
3;FReversalSwing(BUY);Buy to Open;6.0;$60.30;5/21/12;;($30.06);18.0;
4;FReversalSwing(SELL);Sell to Close;-18.0;$65.00;7/31/12;$71.64;$71.64;0.0;
5;FReversalSwing(BUY);Buy to Open;5.0;$74.93;6/6/13;;$76.34;5.0;
6;FReversalSwing(BUY);Buy to Open;5.0;$72.36;6/25/13;;$54.29;10.0;
7;FReversalSwing(BUY);Buy to Open;5.0;$71.91;6/26/13;;$97.79;15.0;
8;FReversalSwing(SELL);Sell to Close;-15.0;$75.80;8/20/13;$41.00;$112.64;0.0;
9;FReversalSwing(BUY);Buy to Open;5.0;$80.00;1/23/14;;$109.39;5.0;
10;FReversalSwing(BUY);Buy to Open;5.0;$79.35;1/24/14;;$87.89;10.0;
11;FReversalSwing(BUY);Buy to Open;5.0;$77.20;1/27/14;;$96.89;15.0;
12;FReversalSwing(SELL);Sell to Close;-15.0;$80.40;3/31/14;$23.17;$135.82;0.0;
13;FReversalSwing(BUY);Buy to Open;4.0;$84.45;11/4/16;;$143.10;4.0;
14;FReversalSwing(BUY);Buy to Open;4.0;$83.45;11/14/16;;$112.78;8.0;
15;FReversalSwing(BUY);Buy to Open;4.0;$81.87;11/18/16;;$128.09;12.0;
16;FReversalSwing(SELL);Sell to Close;-12.0;$86.00;12/15/16;$32.92;$168.74;0.0;
17;FReversalSwing(BUY);Buy to Open;4.0;$94.65;4/18/17;;$178.14;4.0;
18;FReversalSwing(SELL);Sell to Close;-4.0;$101.95;4/25/17;$29.19;$197.93;0.0;
19;FReversalSwing(BUY);Buy to Open;3.0;$110.00;12/4/17;;$201.68;3.0;
20;FReversalSwing(SELL);Sell to Close;-3.0;$115.00;12/19/17;$15.00;$212.93;0.0;
21;FReversalSwing(BUY);Buy to Open;3.0;$106.75;2/6/18;;$217.43;3.0;
22;FReversalSwing(SELL);Sell to Close;-3.0;$108.88;3/13/18;$6.38;$219.30;0.0;
23;FReversalSwing(BUY);Buy to Open;3.0;$126.40;7/19/19;;$211.65;3.0;
24;FReversalSwing(BUY);Buy to Open;3.0;$123.85;7/22/19;;$218.85;6.0;
25;FReversalSwing(BUY);Buy to Open;3.0;$125.05;7/24/19;;$239.37;9.0;
26;FReversalSwing(SELL);Sell to Close;-9.0;$113.84;10/4/19;($101.38);$117.92;0.0;
27;FReversalSwing(BUY);Buy to Open;3.0;$130.37;1/31/20;;$114.57;3.0;
28;FReversalSwing(BUY);Buy to Open;3.0;$129.25;2/3/20;;$132.57;6.0;
29;FReversalSwing(SELL);Sell to Close;-6.0;$138.45;2/20/20;$51.85;$169.77;0.0;
30;FReversalSwing(BUY);Buy to Open;3.0;$130.04;2/25/20;;$153.72;3.0;
31;FReversalSwing(SELL);Sell to Close;-3.0;$119.40;3/2/20;($31.92);$137.85;0.0;
32;FReversalSwing(BUY);Buy to Open;2.0;$150.90;9/28/20;;$149.20;2.0;
33;FReversalSwing(BUY);Buy to Open;2.0;$149.30;10/21/20;;$138.29;4.0;
34;FReversalSwing(BUY);Buy to Open;2.0;$145.35;10/26/20;;($64.75);6.0;
35;FReversalSwing(SELL);Sell to Close;-6.0;$114.79;10/27/20;($202.36);($64.51);0.0;
36;FReversalSwing(BUY);Buy to Open;2.0;$136.29;7/22/21;;($56.45);2.0;
37;FReversalSwing(SELL);Sell to Close;-2.0;$146.92;8/5/21;$21.26;($43.25);0.0;
38;FReversalSwing(BUY);Buy to Open;2.0;$137.50;9/21/21;;($35.25);2.0;
39;FReversalSwing(BUY);Buy to Open;2.0;$139.69;9/23/21;;($21.64);4.0;
40;FReversalSwing(BUY);Buy to Open;2.0;$138.86;9/29/21;;($55.21);6.0;
41;FReversalSwing(SELL);Sell to Close;-6.0;$134.88;10/1/21;($22.83);($66.08);0.0;
42;FReversalSwing(BUY);Buy to Open;3.0;$130.30;7/25/23;;($60.95);3.0;
43;FReversalSwing(BUY);Buy to Open;3.0;$127.76;7/27/23;;($31.76);6.0;
44;FReversalSwing(SELL);Sell to Close;-6.0;$138.35;8/23/23;$55.92;($10.16);0.0;
45;FReversalSwing(BUY);Buy to Open;3.0;$129.60;9/26/23;;($16.08);3.0;
46;FReversalSwing(BUY);Buy to Open;3.0;$127.63;9/27/23;;($24.57);6.0;
47;FReversalSwing(BUY);Buy to Open;3.0;$126.21;9/28/23;;($3.28);9.0;
48;FReversalSwing(SELL);Sell to Close;-9.0;$135.21;11/2/23;$66.59;$56.43;0.0;


Max trade P/L: $71.64;

Total P/L: $56.43;

Total order(s): 15;
