Strategy report
Symbol: SBAC
Work Time: 1/22/01 - 8/24/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;22.0;$44.63;1/22/01;;$4.13;22.0;
2;keepbusy_cross(SELL);Sell to Close;-22.0;$40.10;2/12/01;($99.46);($99.46);0.0;
3;keepbusy_cross(Buy);Buy to Open;36.0;$27.58;10/13/06;;($92.62);36.0;
4;keepbusy_cross(SELL);Sell to Close;-36.0;$27.29;12/26/06;($10.37);($109.83);0.0;
5;keepbusy_cross(Buy);Buy to Open;27.0;$35.80;10/26/07;;($94.17);27.0;
6;keepbusy_cross(SELL);Sell to Close;-27.0;$34.13;11/12/07;($45.03);($154.86);0.0;
7;keepbusy_cross(Buy);Buy to Open;27.0;$36.93;11/30/07;;($141.09);27.0;
8;keepbusy_cross(SELL);Sell to Close;-27.0;$34.96;12/5/07;($53.06);($207.92);0.0;
9;keepbusy_cross(Buy);Buy to Open;39.0;$25.33;7/17/09;;($207.14);39.0;
10;keepbusy_cross(SELL);Sell to Close;-39.0;$24.68;8/17/09;($25.22);($233.14);0.0;
11;keepbusy_cross(Buy);Buy to Open;37.0;$26.44;9/14/09;;($258.67);37.0;
12;keepbusy_cross(SELL);Sell to Close;-37.0;$33.43;2/1/10;$258.48;$25.35;0.0;
13;keepbusy_cross(Buy);Buy to Open;6.0;$163.83;11/2/18;;$31.59;6.0;
14;keepbusy_cross(SELL);Sell to Close;-6.0;$162.67;12/21/18;($6.94);$18.41;0.0;
15;keepbusy_cross(Buy);Buy to Open;3.0;$305.81;4/13/20;;($32.02);3.0;
16;keepbusy_cross(SELL);Sell to Close;-3.0;$281.64;5/5/20;($72.51);($54.10);0.0;
17;keepbusy_cross(Buy);Buy to Open;2.0;$344.10;4/1/22;;($41.10);2.0;
18;keepbusy_cross(SELL);Sell to Close;-2.0;$339.93;5/3/22;($8.34);($62.44);0.0;
19;keepbusy_cross(Buy);Buy to Open;2.0;$346.28;8/5/22;;($64.20);2.0;
20;keepbusy_cross(SELL);Sell to Close;-2.0;$335.53;8/24/22;($21.50);($83.95);0.0;


Max trade P/L: $258.48;

Total P/L: ($83.95);

Total order(s): 10;
