Strategy report
Symbol: SPY
Work Time: 1/11/96 - 12/20/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;6.0;$59.97;1/11/96;;$2.16;6.0;
2;FReversalSwing(SELL);Sell to Close;-6.0;$61.92;1/25/96;$11.72;$11.72;0.0;
3;FReversalSwing(BUY);Buy to Open;6.0;$63.00;4/11/96;;$11.25;6.0;
4;FReversalSwing(BUY);Buy to Open;6.0;$62.92;4/12/96;;$20.81;12.0;
5;FReversalSwing(SELL);Sell to Close;-12.0;$65.23;4/24/96;$27.28;$39.00;0.0;
6;FReversalSwing(BUY);Buy to Open;6.0;$65.58;7/8/96;;$37.41;6.0;
7;FReversalSwing(BUY);Buy to Open;6.0;$65.31;7/9/96;;$40.59;12.0;
8;FReversalSwing(BUY);Buy to Open;6.0;$65.58;7/10/96;;$45.38;18.0;
9;FReversalSwing(SELL);Sell to Close;-18.0;$66.56;8/5/96;$19.31;$58.31;0.0;
10;FReversalSwing(BUY);Buy to Open;5.0;$72.38;12/17/96;;$61.20;5.0;
11;FReversalSwing(SELL);Sell to Close;-5.0;$75.05;12/20/96;$13.36;$71.67;0.0;
12;FReversalSwing(BUY);Buy to Open;5.0;$77.00;3/31/97;;$63.55;5.0;
13;FReversalSwing(BUY);Buy to Open;5.0;$75.38;4/1/97;;$68.39;10.0;
14;FReversalSwing(BUY);Buy to Open;5.0;$75.86;4/2/97;;$48.00;15.0;
15;FReversalSwing(SELL);Sell to Close;-15.0;$79.72;4/30/97;$54.61;$126.28;0.0;
16;FReversalSwing(BUY);Buy to Open;4.0;$89.78;8/18/97;;$134.28;4.0;
17;FReversalSwing(SELL);Sell to Close;-4.0;$94.25;8/21/97;$17.88;$144.16;0.0;
18;FReversalSwing(BUY);Buy to Open;4.0;$87.19;10/28/97;;$164.28;4.0;
19;FReversalSwing(BUY);Buy to Open;4.0;$89.94;10/31/97;;$172.16;8.0;
20;FReversalSwing(SELL);Sell to Close;-8.0;$96.09;11/21/97;$60.25;$204.41;0.0;
21;FReversalSwing(BUY);Buy to Open;4.0;$92.31;1/12/98;;$211.16;4.0;
22;FReversalSwing(SELL);Sell to Close;-4.0;$97.88;1/21/98;$22.25;$226.66;0.0;
23;FReversalSwing(BUY);Buy to Open;3.0;$107.88;6/4/98;;$232.66;3.0;
24;FReversalSwing(SELL);Sell to Close;-3.0;$112.00;6/8/98;$12.38;$239.03;0.0;
25;FReversalSwing(BUY);Buy to Open;3.0;$111.78;8/3/98;;$237.63;3.0;
26;FReversalSwing(BUY);Buy to Open;3.0;$111.31;8/4/98;;$211.75;6.0;
27;FReversalSwing(BUY);Buy to Open;3.0;$107.00;8/5/98;;$224.97;9.0;
28;FReversalSwing(SELL);Sell to Close;-9.0;$96.64;9/1/98;($120.55);$118.48;0.0;
29;FReversalSwing(BUY);Buy to Open;3.0;$129.00;5/26/99;;$122.79;3.0;
30;FReversalSwing(BUY);Buy to Open;3.0;$128.56;5/28/99;;$127.01;6.0;
31;FReversalSwing(SELL);Sell to Close;-6.0;$134.56;6/18/99;$34.69;$153.17;0.0;
32;FReversalSwing(BUY);Buy to Open;3.0;$132.75;8/2/99;;$154.10;3.0;
33;FReversalSwing(BUY);Buy to Open;3.0;$133.06;8/3/99;;$150.35;6.0;
34;FReversalSwing(BUY);Buy to Open;3.0;$132.44;8/4/99;;$134.04;9.0;
35;FReversalSwing(SELL);Sell to Close;-9.0;$136.47;8/24/99;$33.47;$186.64;0.0;
36;FReversalSwing(BUY);Buy to Open;2.0;$139.75;1/5/00;;$187.14;2.0;
37;FReversalSwing(BUY);Buy to Open;2.0;$137.75;1/7/00;;$214.64;4.0;
38;FReversalSwing(SELL);Sell to Close;-4.0;$145.75;1/10/00;$28.00;$214.64;0.0;
39;FReversalSwing(BUY);Buy to Open;2.0;$143.00;8/1/00;;$216.39;2.0;
40;FReversalSwing(SELL);Sell to Close;-2.0;$148.13;8/8/00;$10.25;$224.89;0.0;
41;FReversalSwing(BUY);Buy to Open;2.0;$146.00;9/18/00;;$222.20;2.0;
42;FReversalSwing(SELL);Sell to Close;-2.0;$139.71;10/10/00;($12.58);$212.31;0.0;
43;FReversalSwing(BUY);Buy to Open;3.0;$112.58;3/11/04;;$207.93;3.0;
44;FReversalSwing(BUY);Buy to Open;3.0;$111.12;3/12/04;;$216.69;6.0;
45;FReversalSwing(BUY);Buy to Open;3.0;$111.20;3/16/04;;$213.72;9.0;
46;FReversalSwing(SELL);Sell to Close;-9.0;$113.78;4/2/04;$19.32;$231.63;0.0;
47;FReversalSwing(BUY);Buy to Open;3.0;$110.96;5/3/04;;$235.20;3.0;
48;FReversalSwing(BUY);Buy to Open;3.0;$109.96;5/10/04;;$221.85;6.0;
49;FReversalSwing(BUY);Buy to Open;3.0;$108.83;5/11/04;;$230.13;9.0;
50;FReversalSwing(SELL);Sell to Close;-9.0;$112.24;5/27/04;$20.91;$252.54;0.0;
51;FReversalSwing(BUY);Buy to Open;3.0;$110.80;7/16/04;;$252.27;3.0;
52;FReversalSwing(SELL);Sell to Close;-3.0;$111.10;8/26/04;$0.90;$253.44;0.0;
53;FReversalSwing(BUY);Buy to Open;3.0;$118.01;1/6/05;;$255.24;3.0;
54;FReversalSwing(BUY);Buy to Open;3.0;$117.62;1/14/05;;$255.99;6.0;
55;FReversalSwing(BUY);Buy to Open;3.0;$116.78;1/24/05;;$245.16;9.0;
