Strategy report
Symbol: SSB
Work Time: 2/17/17 - 10/12/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;11.0;$89.95;2/17/17;;$5.50;11.0;
2;keepbusy_cross(SELL);Sell to Close;-11.0;$88.22;3/13/17;($19.07);($19.07);0.0;
3;keepbusy_cross(Buy);Buy to Open;12.0;$77.55;9/13/19;;($16.43);12.0;
4;keepbusy_cross(SELL);Sell to Close;-12.0;$75.35;9/24/19;($26.35);($45.42);0.0;
5;keepbusy_cross(Buy);Buy to Open;11.0;$83.78;10/7/22;;($60.71);11.0;
6;keepbusy_cross(SELL);Sell to Close;-11.0;$81.50;10/12/22;($25.10);($70.52);0.0;


Max trade P/L: ($19.07);

Total P/L: ($70.52);

Total order(s): 3;
