Strategy report
Symbol: STT
Work Time: 8/21/87 - 8/7/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;233.0;$4.28;8/21/87;;$25.49;233.0;
2;keepbusy_cross(SELL);Sell to Close;-233.0;$3.77;9/9/87;($118.57);($118.57);0.0;
3;keepbusy_cross(Buy);Buy to Open;296.0;$3.38;1/9/89;;($109.32);296.0;
4;keepbusy_cross(SELL);Sell to Close;-296.0;$3.21;1/20/89;($50.23);($168.80);0.0;
5;keepbusy_cross(Buy);Buy to Open;238.0;$4.19;11/16/90;;($153.93);238.0;
6;keepbusy_cross(SELL);Sell to Close;-238.0;$4.03;11/21/90;($37.26);($206.06);0.0;
7;keepbusy_cross(Buy);Buy to Open;142.0;$7.02;10/18/91;;($188.31);142.0;
8;keepbusy_cross(SELL);Sell to Close;-142.0;$6.93;11/20/91;($12.68);($218.75);0.0;
9;keepbusy_cross(Buy);Buy to Open;82.0;$12.06;3/22/96;;($205.93);82.0;
10;keepbusy_cross(SELL);Sell to Close;-82.0;$11.39;4/12/96;($55.20);($273.94);0.0;
11;keepbusy_cross(Buy);Buy to Open;78.0;$12.69;5/17/96;;($266.63);78.0;
12;keepbusy_cross(SELL);Sell to Close;-78.0;$12.63;7/8/96;($4.22);($278.17);0.0;
13;keepbusy_cross(Buy);Buy to Open;26.0;$38.16;10/29/99;;($280.61);26.0;
14;keepbusy_cross(SELL);Sell to Close;-26.0;$34.01;12/17/99;($107.73);($385.90);0.0;
15;keepbusy_cross(Buy);Buy to Open;15.0;$65.15;12/8/00;;($376.98);15.0;
16;keepbusy_cross(SELL);Sell to Close;-15.0;$61.98;12/15/00;($47.45);($433.35);0.0;
17;keepbusy_cross(Buy);Buy to Open;17.0;$55.96;3/8/02;;($424.34);17.0;
18;keepbusy_cross(SELL);Sell to Close;-17.0;$53.69;4/4/02;($38.60);($471.95);0.0;
19;keepbusy_cross(Buy);Buy to Open;18.0;$53.94;10/21/05;;($463.13);18.0;
20;keepbusy_cross(SELL);Sell to Close;-18.0;$55.73;1/3/06;$32.22;($439.73);0.0;
21;keepbusy_cross(Buy);Buy to Open;16.0;$60.93;1/27/06;;($457.01);16.0;
22;keepbusy_cross(SELL);Sell to Close;-16.0;$60.36;3/29/06;($9.17);($448.89);0.0;
23;keepbusy_cross(Buy);Buy to Open;15.0;$64.88;12/8/06;;($446.94);15.0;
24;keepbusy_cross(SELL);Sell to Close;-15.0;$67.04;2/6/07;$32.41;($416.48);0.0;
25;keepbusy_cross(Buy);Buy to Open;18.0;$53.80;10/9/09;;($391.82);18.0;
26;keepbusy_cross(SELL);Sell to Close;-18.0;$52.35;10/20/09;($26.04);($442.53);0.0;
27;keepbusy_cross(Buy);Buy to Open;22.0;$44.93;10/19/12;;($448.47);22.0;
28;keepbusy_cross(SELL);Sell to Close;-22.0;$56.17;4/8/13;$247.28;($195.25);0.0;
29;keepbusy_cross(Buy);Buy to Open;13.0;$73.55;10/31/14;;($170.42);13.0;
30;keepbusy_cross(SELL);Sell to Close;-13.0;$75.48;1/7/15;$25.09;($170.16);0.0;
31;keepbusy_cross(Buy);Buy to Open;11.0;$86.00;6/9/17;;($155.31);11.0;
32;keepbusy_cross(SELL);Sell to Close;-11.0;$91.13;8/30/17;$56.44;($113.71);0.0;
33;keepbusy_cross(Buy);Buy to Open;9.0;$105.78;1/12/18;;($100.57);9.0;
34;keepbusy_cross(SELL);Sell to Close;-9.0;$99.74;2/7/18;($54.35);($168.06);0.0;
35;keepbusy_cross(Buy);Buy to Open;16.0;$60.27;9/13/19;;($153.98);16.0;
36;keepbusy_cross(SELL);Sell to Close;-16.0;$56.09;10/3/19;($66.86);($234.92);0.0;
37;keepbusy_cross(Buy);Buy to Open;14.0;$66.90;11/13/20;;($212.24);14.0;
38;keepbusy_cross(SELL);Sell to Close;-14.0;$71.24;1/28/21;$60.76;($174.16);0.0;
39;keepbusy_cross(Buy);Buy to Open;12.0;$78.20;3/5/21;;($159.52);12.0;
40;keepbusy_cross(SELL);Sell to Close;-12.0;$79.03;4/20/21;$9.90;($164.26);0.0;
41;keepbusy_cross(Buy);Buy to Open;10.0;$92.50;8/27/21;;($146.46);10.0;
42;keepbusy_cross(SELL);Sell to Close;-10.0;$86.61;9/15/21;($58.91);($223.17);0.0;
43;keepbusy_cross(Buy);Buy to Open;12.0;$77.32;4/1/24;;($224.01);12.0;
44;keepbusy_cross(SELL);Sell to Close;-12.0;$74.22;4/12/24;($37.20);($260.37);0.0;
45;keepbusy_cross(Buy);Buy to Open;13.0;$76.48;7/12/24;;($233.33);13.0;
46;keepbusy_cross(SELL);Sell to Close;-13.0;$76.91;8/7/24;$5.59;($254.78);0.0;


Max trade P/L: $247.28;

Total P/L: ($254.78);

Total order(s): 23;
