Strategy report
Symbol: TEAM
Work Time: 5/11/18 - 6/26/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;15.0;$65.29;5/11/18;;($6.30);15.0;
2;keepbusy_cross(SELL);Sell to Close;-15.0;$61.42;6/26/18;($58.05);($58.05);0.0;
3;keepbusy_cross(Buy);Buy to Open;7.0;$125.13;5/10/19;;($31.87);7.0;
4;keepbusy_cross(SELL);Sell to Close;-7.0;$131.92;8/6/19;$47.54;($10.51);0.0;
5;keepbusy_cross(Buy);Buy to Open;6.0;$146.51;4/17/20;;$23.93;6.0;
6;keepbusy_cross(SELL);Sell to Close;-6.0;$174.89;7/15/20;$170.30;$159.79;0.0;
7;keepbusy_cross(Buy);Buy to Open;6.0;$158.88;5/26/23;;$203.41;6.0;
8;keepbusy_cross(SELL);Sell to Close;-6.0;$162.66;6/26/23;$22.65;$182.44;0.0;


Max trade P/L: $170.30;

Total P/L: $182.44;

Total order(s): 4;
