Strategy report
Symbol: TM
Work Time: 11/25/94 - 8/2/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;9.0;$41.88;11/25/94;;$0.00;9.0;
2;FReversalSwing(BUY);Buy to Open;9.0;$41.88;11/28/94;;$0.00;18.0;
3;FReversalSwing(BUY);Buy to Open;9.0;$41.88;11/29/94;;$10.13;27.0;
4;FReversalSwing(SELL);Sell to Close;-27.0;$37.63;2/6/95;($114.75);($114.75);0.0;
5;FReversalSwing(BUY);Buy to Open;9.0;$42.38;3/7/96;;($119.25);9.0;
6;FReversalSwing(BUY);Buy to Open;9.0;$41.88;3/8/96;;($126.00);18.0;
7;FReversalSwing(BUY);Buy to Open;9.0;$41.50;3/11/96;;($132.75);27.0;
8;FReversalSwing(SELL);Sell to Close;-27.0;$43.00;3/20/96;$29.25;($85.50);0.0;
9;FReversalSwing(BUY);Buy to Open;8.0;$45.38;7/23/96;;($80.50);8.0;
10;FReversalSwing(BUY);Buy to Open;8.0;$46.00;7/24/96;;($94.50);16.0;
11;FReversalSwing(BUY);Buy to Open;8.0;$45.13;7/25/96;;($76.50);24.0;
12;FReversalSwing(SELL);Sell to Close;-24.0;$48.50;8/1/96;$72.00;($13.50);0.0;
13;FReversalSwing(BUY);Buy to Open;8.0;$48.00;10/9/96;;($13.50);8.0;
14;FReversalSwing(BUY);Buy to Open;8.0;$48.00;10/10/96;;($9.50);16.0;
15;FReversalSwing(BUY);Buy to Open;8.0;$48.25;10/11/96;;($6.50);24.0;
16;FReversalSwing(SELL);Sell to Close;-24.0;$49.88;11/8/96;$43.00;$29.50;0.0;
17;FReversalSwing(BUY);Buy to Open;7.0;$53.13;1/13/97;;$30.38;7.0;
18;FReversalSwing(BUY);Buy to Open;7.0;$53.25;1/14/97;;$53.13;14.0;
19;FReversalSwing(BUY);Buy to Open;7.0;$53.13;1/30/97;;$7.63;21.0;
20;FReversalSwing(SELL);Sell to Close;-21.0;$54.13;2/13/97;$20.13;$49.63;0.0;
21;FReversalSwing(BUY);Buy to Open;7.0;$51.38;3/4/97;;$54.88;7.0;
22;FReversalSwing(BUY);Buy to Open;7.0;$51.13;3/7/97;;$44.38;14.0;
23;FReversalSwing(BUY);Buy to Open;7.0;$50.88;3/10/97;;$47.00;21.0;
24;FReversalSwing(SELL);Sell to Close;-21.0;$51.88;4/4/97;$15.75;$65.38;0.0;
25;FReversalSwing(BUY);Buy to Open;7.0;$56.13;8/5/97;;$47.88;7.0;
26;FReversalSwing(BUY);Buy to Open;7.0;$55.25;8/7/97;;$57.50;14.0;
27;FReversalSwing(SELL);Sell to Close;-14.0;$56.25;9/17/97;$7.88;$73.25;0.0;
28;FReversalSwing(BUY);Buy to Open;6.0;$57.25;10/28/97;;$90.88;6.0;
29;FReversalSwing(SELL);Sell to Close;-6.0;$52.50;11/10/97;($28.50);$44.75;0.0;
30;FReversalSwing(BUY);Buy to Open;7.0;$54.88;5/17/99;;$36.00;7.0;
31;FReversalSwing(BUY);Buy to Open;7.0;$53.63;5/18/99;;$60.50;14.0;
32;FReversalSwing(BUY);Buy to Open;7.0;$53.00;5/20/99;;$37.75;21.0;
33;FReversalSwing(SELL);Sell to Close;-21.0;$58.25;6/8/99;$92.75;$137.50;0.0;
34;FReversalSwing(BUY);Buy to Open;6.0;$62.69;8/27/99;;$139.38;6.0;
35;FReversalSwing(BUY);Buy to Open;6.0;$63.00;8/30/99;;$148.38;12.0;
36;FReversalSwing(SELL);Sell to Close;-12.0;$67.13;9/17/99;$51.38;$188.88;0.0;
37;FReversalSwing(BUY);Buy to Open;6.0;$62.00;9/29/99;;$182.13;6.0;
38;FReversalSwing(BUY);Buy to Open;6.0;$60.88;9/30/99;;$200.13;12.0;
39;FReversalSwing(SELL);Sell to Close;-12.0;$66.56;10/8/99;$61.50;$250.38;0.0;
40;FReversalSwing(BUY);Buy to Open;4.0;$86.25;6/15/00;;$244.63;4.0;
41;FReversalSwing(BUY);Buy to Open;4.0;$84.81;6/16/00;;$237.13;8.0;
42;FReversalSwing(BUY);Buy to Open;4.0;$83.88;6/19/00;;$266.38;12.0;
43;FReversalSwing(SELL);Sell to Close;-12.0;$93.75;7/12/00;$105.25;$355.63;0.0;
44;FReversalSwing(BUY);Buy to Open;6.0;$58.02;11/3/03;;$359.17;6.0;
45;FReversalSwing(SELL);Sell to Close;-6.0;$63.40;11/6/03;$32.28;$387.91;0.0;
46;FReversalSwing(BUY);Buy to Open;6.0;$64.65;2/5/04;;$405.18;6.0;
47;FReversalSwing(SELL);Sell to Close;-6.0;$69.33;2/18/04;$28.08;$415.98;0.0;
48;FReversalSwing(BUY);Buy to Open;5.0;$69.70;5/10/04;;$401.03;5.0;
49;FReversalSwing(BUY);Buy to Open;5.0;$66.71;5/11/04;;$417.64;10.0;
50;FReversalSwing(BUY);Buy to Open;5.0;$68.37;5/12/04;;$439.99;15.0;
51;FReversalSwing(SELL);Sell to Close;-15.0;$72.35;6/1/04;$61.35;$477.34;0.0;
52;FReversalSwing(BUY);Buy to Open;5.0;$76.22;8/6/04;;$467.39;5.0;
53;FReversalSwing(BUY);Buy to Open;5.0;$74.23;8/9/04;;$479.09;10.0;
54;FReversalSwing(BUY);Buy to Open;5.0;$75.40;8/10/04;;$474.89;15.0;
55;FReversalSwing(SELL);Sell to Close;-15.0;$78.79;8/26/04;$52.60;$529.94;0.0;
56;FReversalSwing(BUY);Buy to Open;5.0;$75.05;9/27/04;;$524.99;5.0;
57;FReversalSwing(BUY);Buy to Open;5.0;$74.06;9/28/04;;$522.19;10.0;
58;FReversalSwing(BUY);Buy to Open;5.0;$73.78;9/29/04;;$524.14;15.0;
59;FReversalSwing(SELL);Sell to Close;-15.0;$77.52;10/4/04;$48.35;$578.29;0.0;
60;FReversalSwing(BUY);Buy to Open;3.0;$107.63;5/23/06;;$579.64;3.0;
61;FReversalSwing(BUY);Buy to Open;3.0;$108.08;5/24/06;;$587.20;6.0;
62;FReversalSwing(BUY);Buy to Open;3.0;$109.34;5/25/06;;$583.87;9.0;
63;FReversalSwing(SELL);Sell to Close;-9.0;$105.49;7/11/06;($25.74);$552.55;0.0;
64;FReversalSwing(BUY);Buy to Open;3.0;$129.09;3/5/07;;$549.01;3.0;
65;FReversalSwing(BUY);Buy to Open;3.0;$127.91;3/6/07;;$577.92;6.0;
66;FReversalSwing(BUY);Buy to Open;3.0;$128.16;4/2/07;;$539.35;9.0;
67;FReversalSwing(SELL);Sell to Close;-9.0;$122.94;6/4/07;($49.02);$503.53;0.0;
68;FReversalSwing(BUY);Buy to Open;4.0;$85.65;3/14/11;;$487.85;4.0;
69;FReversalSwing(BUY);Buy to Open;4.0;$81.73;3/15/11;;$485.13;8.0;
70;FReversalSwing(SELL);Sell to Close;-8.0;$77.54;3/16/11;($49.20);$454.33;0.0;
71;FReversalSwing(BUY);Buy to Open;4.0;$80.41;3/17/11;;$460.93;4.0;
72;FReversalSwing(BUY);Buy to Open;4.0;$82.06;3/18/11;;$456.93;8.0;
73;FReversalSwing(BUY);Buy to Open;4.0;$81.56;3/21/11;;$483.21;12.0;
74;FReversalSwing(SELL);Sell to Close;-12.0;$77.51;4/6/11;($46.00);$408.33;0.0;
75;FReversalSwing(BUY);Buy to Open;4.0;$80.94;4/11/12;;$414.61;4.0;
76;FReversalSwing(BUY);Buy to Open;4.0;$80.54;4/23/12;;$397.85;8.0;
77;FReversalSwing(BUY);Buy to Open;5.0;$79.43;4/24/12;;$414.75;13.0;
78;FReversalSwing(SELL);Sell to Close;-13.0;$77.20;5/17/12;($39.41);$368.92;0.0;
79;FReversalSwing(BUY);Buy to Open;5.0;$78.67;9/27/12;;$376.82;5.0;
80;FReversalSwing(SELL);Sell to Close;-5.0;$76.75;10/3/12;($9.62);$359.30;0.0;
81;FReversalSwing(BUY);Buy to Open;4.0;$99.95;4/3/13;;$363.02;4.0;
82;FReversalSwing(SELL);Sell to Close;-4.0;$105.63;4/5/13;$22.72;$382.02;0.0;
83;FReversalSwing(BUY);Buy to Open;3.0;$125.61;11/22/13;;$384.12;3.0;
84;FReversalSwing(BUY);Buy to Open;3.0;$124.93;11/27/13;;$381.66;6.0;
85;FReversalSwing(BUY);Buy to Open;3.0;$125.21;11/29/13;;$380.22;9.0;
86;FReversalSwing(SELL);Sell to Close;-9.0;$108.84;3/17/14;($147.65);$234.37;0.0;
87;FReversalSwing(BUY);Buy to Open;2.0;$135.51;6/8/15;;$229.65;2.0;
88;FReversalSwing(BUY);Buy to Open;3.0;$133.15;6/9/15;;$225.40;5.0;
89;FReversalSwing(BUY);Buy to Open;3.0;$132.30;6/10/15;;$240.92;8.0;
90;FReversalSwing(SELL);Sell to Close;-8.0;$135.77;7/17/15;$18.79;$253.16;0.0;
91;FReversalSwing(BUY);Buy to Open;3.0;$116.69;1/30/17;;$251.30;3.0;
92;FReversalSwing(SELL);Sell to Close;-3.0;$115.78;1/31/17;($2.73);$250.43;0.0;
93;FReversalSwing(BUY);Buy to Open;3.0;$131.93;2/6/18;;$270.92;3.0;
94;FReversalSwing(SELL);Sell to Close;-3.0;$138.76;2/7/18;$20.49;$270.92;0.0;
95;FReversalSwing(BUY);Buy to Open;3.0;$130.39;3/2/18;;$271.52;3.0;
96;FReversalSwing(BUY);Buy to Open;3.0;$130.59;3/5/18;;$273.86;6.0;
97;FReversalSwing(BUY);Buy to Open;3.0;$129.82;3/8/18;;$264.56;9.0;
98;FReversalSwing(SELL);Sell to Close;-9.0;$131.10;4/26/18;$7.50;$278.42;0.0;
99;FReversalSwing(BUY);Buy to Open;3.0;$129.96;5/29/18;;$268.64;3.0;
100;FReversalSwing(BUY);Buy to Open;3.0;$127.97;6/1/18;;$292.49;6.0;
101;FReversalSwing(SELL);Sell to Close;-6.0;$134.28;6/5/18;$31.89;$310.31;0.0;
102;FReversalSwing(BUY);Buy to Open;2.0;$139.36;1/16/20;;$311.79;2.0;
103;FReversalSwing(SELL);Sell to Close;-2.0;$142.38;1/22/20;$6.04;$316.35;0.0;
104;FReversalSwing(BUY);Buy to Open;2.0;$137.84;2/20/20;;$318.89;2.0;
105;FReversalSwing(BUY);Buy to Open;2.0;$134.49;2/25/20;;$307.81;4.0;
106;FReversalSwing(BUY);Buy to Open;2.0;$134.03;2/26/20;;$314.41;6.0;
107;FReversalSwing(SELL);Sell to Close;-6.0;$127.42;3/9/20;($48.20);$268.15;0.0;
108;FReversalSwing(BUY);Buy to Open;2.0;$142.64;1/28/21;;$269.47;2.0;
109;FReversalSwing(BUY);Buy to Open;2.0;$143.30;1/29/21;;$258.35;4.0;
110;FReversalSwing(BUY);Buy to Open;2.0;$140.52;2/1/21;;$257.69;6.0;
111;FReversalSwing(SELL);Sell to Close;-6.0;$150.86;2/8/21;$52.24;$320.39;0.0;
112;FReversalSwing(BUY);Buy to Open;2.0;$150.77;5/3/21;;$323.31;2.0;
113;FReversalSwing(SELL);Sell to Close;-2.0;$155.06;5/11/21;$8.58;$328.97;0.0;
114;FReversalSwing(BUY);Buy to Open;2.0;$168.55;8/20/21;;$321.19;2.0;
115;FReversalSwing(BUY);Buy to Open;2.0;$164.66;8/23/21;;$337.51;4.0;
116;FReversalSwing(BUY);Buy to Open;2.0;$168.74;8/24/21;;$351.19;6.0;
117;FReversalSwing(SELL);Sell to Close;-6.0;$179.27;9/7/21;$71.72;$400.69;0.0;
118;FReversalSwing(BUY);Buy to Open;2.0;$171.81;10/5/21;;$401.35;2.0;
119;FReversalSwing(BUY);Buy to Open;2.0;$172.14;10/6/21;;$380.67;4.0;
120;FReversalSwing(BUY);Buy to Open;2.0;$166.97;10/7/21;;$395.67;6.0;
121;FReversalSwing(SELL);Sell to Close;-6.0;$179.98;11/2/21;$58.04;$458.73;0.0;
122;FReversalSwing(BUY);Buy to Open;2.0;$186.54;2/18/22;;$463.59;2.0;
123;FReversalSwing(BUY);Buy to Open;2.0;$185.64;2/23/22;;$449.73;4.0;
124;FReversalSwing(BUY);Buy to Open;2.0;$183.84;2/24/22;;$440.07;6.0;
125;FReversalSwing(SELL);Sell to Close;-6.0;$163.19;3/8/22;($132.88);$325.85;0.0;
126;FReversalSwing(BUY);Buy to Open;2.0;$169.45;10/5/23;;$333.03;2.0;
127;FReversalSwing(SELL);Sell to Close;-2.0;$181.60;10/13/23;$24.30;$350.15;0.0;
128;FReversalSwing(BUY);Buy to Open;2.0;$178.53;12/26/23;;$352.79;2.0;
129;FReversalSwing(SELL);Sell to Close;-2.0;$187.07;1/8/24;$17.08;$367.23;0.0;
130;FReversalSwing(BUY);Buy to Open;1.0;$214.72;5/24/24;;$369.35;1.0;
131;FReversalSwing(BUY);Buy to Open;1.0;$216.84;5/28/24;;$373.11;2.0;
132;FReversalSwing(BUY);Buy to Open;1.0;$213.95;5/30/24;;$364.23;3.0;
133;FReversalSwing(SELL);Sell to Close;-3.0;$180.82;8/2/24;($103.05);$264.18;0.0;


Max trade P/L: $105.25;

Total P/L: $264.18;

Total order(s): 40;
