Strategy report
Symbol: TSM
Work Time: 2/22/02 - 9/8/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;36.0;$10.93;2/22/02;;$4.18;36.0;
2;FReversalSwing(SELL);Sell to Close;-36.0;$13.05;3/5/02;$76.19;$76.19;0.0;
3;FReversalSwing(BUY);Buy to Open;32.0;$12.25;4/29/02;;$71.17;32.0;
4;FReversalSwing(BUY);Buy to Open;33.0;$12.10;4/30/02;;$70.28;65.0;
5;FReversalSwing(BUY);Buy to Open;33.0;$12.08;5/1/02;;$103.73;98.0;
6;FReversalSwing(SELL);Sell to Close;-98.0;$10.45;6/5/02;($166.49);($90.30);0.0;
7;FReversalSwing(BUY);Buy to Open;46.0;$8.69;10/23/03;;($98.13);46.0;
8;FReversalSwing(BUY);Buy to Open;46.0;$8.52;10/24/03;;($98.88);92.0;
9;FReversalSwing(BUY);Buy to Open;47.0;$8.51;10/27/03;;($104.51);139.0;
10;FReversalSwing(SELL);Sell to Close;-139.0;$9.38;10/29/03;$112.05;$21.76;0.0;
11;FReversalSwing(BUY);Buy to Open;48.0;$8.21;12/10/03;;$11.24;48.0;
12;FReversalSwing(BUY);Buy to Open;50.0;$7.99;12/11/03;;$50.99;98.0;
13;FReversalSwing(BUY);Buy to Open;48.0;$8.19;12/15/03;;$14.54;146.0;
14;FReversalSwing(SELL);Sell to Close;-146.0;$8.66;1/5/04;$78.04;$99.80;0.0;
15;FReversalSwing(BUY);Buy to Open;46.0;$8.53;7/8/05;;$104.71;46.0;
16;FReversalSwing(SELL);Sell to Close;-46.0;$8.91;7/12/05;$17.42;$117.22;0.0;
17;FReversalSwing(BUY);Buy to Open;47.0;$8.44;7/27/05;;$112.65;47.0;
18;FReversalSwing(BUY);Buy to Open;47.0;$8.34;7/28/05;;$119.96;94.0;
19;FReversalSwing(BUY);Buy to Open;47.0;$8.42;7/29/05;;$109.00;141.0;
20;FReversalSwing(SELL);Sell to Close;-141.0;$7.82;8/30/05;($81.25);$35.97;0.0;
21;FReversalSwing(BUY);Buy to Open;43.0;$9.17;3/8/06;;$33.46;43.0;
22;FReversalSwing(BUY);Buy to Open;43.0;$9.12;3/9/06;;$34.30;86.0;
23;FReversalSwing(BUY);Buy to Open;43.0;$9.13;3/10/06;;$64.36;129.0;
24;FReversalSwing(SELL);Sell to Close;-129.0;$9.76;3/31/06;$79.74;$115.71;0.0;
25;FReversalSwing(BUY);Buy to Open;41.0;$9.75;5/16/06;;$113.32;41.0;
26;FReversalSwing(BUY);Buy to Open;41.0;$9.69;5/17/06;;$105.36;82.0;
27;FReversalSwing(BUY);Buy to Open;41.0;$9.59;5/18/06;;$94.61;123.0;
28;FReversalSwing(SELL);Sell to Close;-123.0;$8.65;6/9/06;($126.18);($10.48);0.0;
29;FReversalSwing(BUY);Buy to Open;39.0;$10.11;3/6/07;;$9.02;39.0;
30;FReversalSwing(SELL);Sell to Close;-39.0;$11.31;3/21/07;$46.80;$36.32;0.0;
31;FReversalSwing(BUY);Buy to Open;37.0;$10.55;4/20/07;;$35.21;37.0;
32;FReversalSwing(BUY);Buy to Open;38.0;$10.52;4/23/07;;$39.71;75.0;
33;FReversalSwing(SELL);Sell to Close;-75.0;$11.03;4/27/07;$37.14;$73.46;0.0;
34;FReversalSwing(BUY);Buy to Open;38.0;$10.42;5/11/07;;$73.08;38.0;
35;FReversalSwing(BUY);Buy to Open;38.0;$10.41;5/14/07;;$59.40;76.0;
36;FReversalSwing(SELL);Sell to Close;-76.0;$10.91;6/1/07;$37.62;$111.08;0.0;
37;FReversalSwing(BUY);Buy to Open;39.0;$10.17;10/8/09;;$101.33;39.0;
38;FReversalSwing(BUY);Buy to Open;40.0;$9.92;10/9/09;;$111.60;79.0;
39;FReversalSwing(BUY);Buy to Open;39.0;$10.05;10/12/09;;$95.08;118.0;
40;FReversalSwing(SELL);Sell to Close;-118.0;$9.51;11/2/09;($63.52);$47.56;0.0;
41;FReversalSwing(BUY);Buy to Open;32.0;$12.41;2/23/11;;$43.40;32.0;
42;FReversalSwing(BUY);Buy to Open;32.0;$12.28;2/24/11;;$33.16;64.0;
43;FReversalSwing(BUY);Buy to Open;33.0;$12.12;2/25/11;;$49.65;97.0;
44;FReversalSwing(SELL);Sell to Close;-97.0;$12.46;4/6/11;$18.58;$66.14;0.0;
45;FReversalSwing(BUY);Buy to Open;31.0;$12.72;6/20/11;;$71.72;31.0;
46;FReversalSwing(BUY);Buy to Open;32.0;$12.40;6/27/11;;$64.41;63.0;
47;FReversalSwing(BUY);Buy to Open;31.0;$12.53;6/28/11;;$91.67;94.0;
48;FReversalSwing(SELL);Sell to Close;-94.0;$12.98;7/25/11;$40.57;$106.71;0.0;
49;FReversalSwing(BUY);Buy to Open;28.0;$14.28;5/21/12;;$110.63;28.0;
50;FReversalSwing(BUY);Buy to Open;27.0;$14.42;5/22/12;;$109.53;55.0;
51;FReversalSwing(BUY);Buy to Open;27.0;$14.40;5/23/12;;$83.29;82.0;
