Strategy report
Symbol: UNH
Work Time: 2/17/93 - 12/13/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;124.0;$3.22;2/17/93;;($20.34);124.0;
2;FReversalSwing(SELL);Sell to Close;-124.0;$2.61;2/24/93;($75.73);($75.73);0.0;
3;FReversalSwing(BUY);Buy to Open;107.0;$3.72;8/11/93;;($120.87);107.0;
4;FReversalSwing(BUY);Buy to Open;112.0;$3.55;8/13/93;;($107.81);219.0;
5;FReversalSwing(SELL);Sell to Close;-219.0;$3.88;9/3/93;$55.18;($20.55);0.0;
6;FReversalSwing(BUY);Buy to Open;80.0;$5.00;4/20/94;;($41.80);80.0;
7;FReversalSwing(BUY);Buy to Open;84.0;$4.73;4/21/94;;($8.49);164.0;
8;FReversalSwing(BUY);Buy to Open;81.0;$4.94;4/22/94;;$33.62;245.0;
9;FReversalSwing(SELL);Sell to Close;-245.0;$5.52;5/3/94;$153.70;$133.15;0.0;
10;FReversalSwing(BUY);Buy to Open;73.0;$5.45;7/13/94;;$142.28;73.0;
11;FReversalSwing(BUY);Buy to Open;73.0;$5.47;7/21/94;;$132.01;146.0;
12;FReversalSwing(BUY);Buy to Open;73.0;$5.45;7/22/94;;$183.34;219.0;
13;FReversalSwing(SELL);Sell to Close;-219.0;$5.88;8/4/94;$91.25;$224.40;0.0;
14;FReversalSwing(BUY);Buy to Open;66.0;$6.05;11/4/94;;$224.40;66.0;
15;FReversalSwing(BUY);Buy to Open;66.0;$6.05;11/7/94;;$224.40;132.0;
16;FReversalSwing(BUY);Buy to Open;66.0;$6.05;11/8/94;;$230.59;198.0;
17;FReversalSwing(SELL);Sell to Close;-198.0;$5.11;12/12/94;($185.00);$39.40;0.0;
18;FReversalSwing(BUY);Buy to Open;55.0;$7.27;1/10/96;;$38.54;55.0;
19;FReversalSwing(BUY);Buy to Open;55.0;$7.25;1/11/96;;$40.26;110.0;
20;FReversalSwing(BUY);Buy to Open;55.0;$7.27;1/12/96;;$11.90;165.0;
21;FReversalSwing(SELL);Sell to Close;-165.0;$7.75;1/29/96;$80.78;$120.18;0.0;
22;FReversalSwing(BUY);Buy to Open;52.0;$7.59;3/27/96;;$125.87;52.0;
23;FReversalSwing(BUY);Buy to Open;52.0;$7.59;3/29/96;;$129.93;104.0;
24;FReversalSwing(SELL);Sell to Close;-104.0;$8.02;4/2/96;$43.88;$164.06;0.0;
25;FReversalSwing(BUY);Buy to Open;54.0;$7.30;4/11/96;;$175.87;54.0;
26;FReversalSwing(BUY);Buy to Open;55.0;$7.23;4/23/96;;$170.90;109.0;
27;FReversalSwing(BUY);Buy to Open;54.0;$7.28;4/25/96;;$175.98;163.0;
28;FReversalSwing(SELL);Sell to Close;-163.0;$6.30;6/12/96;($158.89);$5.17;0.0;
29;FReversalSwing(BUY);Buy to Open;62.0;$6.38;7/11/97;;$10.50;62.0;
30;FReversalSwing(BUY);Buy to Open;62.0;$6.35;7/15/97;;$29.39;124.0;
31;FReversalSwing(SELL);Sell to Close;-124.0;$6.74;7/17/97;$46.50;$51.67;0.0;
32;FReversalSwing(BUY);Buy to Open;63.0;$6.34;8/8/97;;$59.55;63.0;
33;FReversalSwing(SELL);Sell to Close;-63.0;$6.25;8/11/97;($5.66);$46.01;0.0;
