Strategy report
Symbol: V
Work Time: 1/26/10 - 7/18/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;FReversalSwing(BUY);Buy to Open;19.0;$20.51;1/26/10;;($4.18);19.0;
2;FReversalSwing(BUY);Buy to Open;19.0;$20.29;1/27/10;;$22.04;38.0;
3;FReversalSwing(SELL);Sell to Close;-38.0;$21.47;2/17/10;$40.75;$40.75;0.0;
4;FReversalSwing(BUY);Buy to Open;19.0;$20.73;5/7/10;;$37.76;19.0;
5;FReversalSwing(BUY);Buy to Open;19.0;$20.57;5/10/10;;$72.91;38.0;
6;FReversalSwing(BUY);Buy to Open;18.0;$21.50;5/11/10;;$47.29;56.0;
7;FReversalSwing(SELL);Sell to Close;-56.0;$17.31;5/19/10;($202.52);($161.77);0.0;
8;FReversalSwing(BUY);Buy to Open;20.0;$19.82;8/11/11;;($135.57);20.0;
9;FReversalSwing(SELL);Sell to Close;-20.0;$21.98;8/31/11;$43.25;($118.52);0.0;
10;FReversalSwing(BUY);Buy to Open;14.0;$28.06;6/4/12;;($111.83);14.0;
11;FReversalSwing(SELL);Sell to Close;-14.0;$30.03;6/19/12;$27.47;($91.04);0.0;
12;FReversalSwing(BUY);Buy to Open;9.0;$44.25;8/1/13;;($86.18);9.0;
13;FReversalSwing(BUY);Buy to Open;8.0;$44.59;8/15/13;;($106.81);17.0;
14;FReversalSwing(BUY);Buy to Open;9.0;$43.48;8/16/13;;($112.01);26.0;
15;FReversalSwing(SELL);Sell to Close;-26.0;$46.15;9/11/13;$53.52;($37.52);0.0;
16;FReversalSwing(BUY);Buy to Open;7.0;$53.92;3/27/14;;($37.37);7.0;
17;FReversalSwing(BUY);Buy to Open;7.0;$53.94;3/28/14;;($50.25);14.0;
18;FReversalSwing(BUY);Buy to Open;7.0;$53.02;3/31/14;;($30.45);21.0;
19;FReversalSwing(SELL);Sell to Close;-21.0;$52.93;5/13/14;($14.77);($52.29);0.0;
20;FReversalSwing(BUY);Buy to Open;6.0;$62.75;1/28/15;;($59.24);6.0;
21;FReversalSwing(BUY);Buy to Open;6.0;$61.59;1/29/15;;($54.32);12.0;
22;FReversalSwing(BUY);Buy to Open;6.0;$62.00;1/30/15;;($23.22);18.0;
23;FReversalSwing(SELL);Sell to Close;-18.0;$66.22;2/5/15;$73.98;$21.69;0.0;
24;FReversalSwing(BUY);Buy to Open;6.0;$64.52;4/20/15;;$22.89;6.0;
25;FReversalSwing(BUY);Buy to Open;6.0;$64.72;4/21/15;;$30.45;12.0;
26;FReversalSwing(SELL);Sell to Close;-12.0;$68.01;4/23/15;$40.68;$62.37;0.0;
27;FReversalSwing(BUY);Buy to Open;5.0;$66.72;6/30/15;;$64.52;5.0;
28;FReversalSwing(BUY);Buy to Open;5.0;$66.73;7/9/15;;$65.62;10.0;
29;FReversalSwing(SELL);Sell to Close;-10.0;$69.52;7/14/15;$27.95;$90.32;0.0;
30;FReversalSwing(BUY);Buy to Open;5.0;$71.19;8/24/15;;$76.17;5.0;
31;FReversalSwing(SELL);Sell to Close;-5.0;$60.60;8/25/15;($52.95);$37.36;0.0;
32;FReversalSwing(BUY);Buy to Open;5.0;$68.96;9/2/15;;$40.66;5.0;
33;FReversalSwing(SELL);Sell to Close;-5.0;$72.23;10/6/15;$16.35;$53.71;0.0;
34;FReversalSwing(BUY);Buy to Open;5.0;$76.11;12/14/15;;$57.51;5.0;
35;FReversalSwing(SELL);Sell to Close;-5.0;$79.86;12/17/15;$18.75;$72.46;0.0;
36;FReversalSwing(BUY);Buy to Open;5.0;$75.27;1/7/16;;$65.06;5.0;
37;FReversalSwing(BUY);Buy to Open;5.0;$73.79;1/8/16;;$55.96;10.0;
38;FReversalSwing(BUY);Buy to Open;5.0;$72.88;1/11/16;;$71.56;15.0;
39;FReversalSwing(SELL);Sell to Close;-15.0;$66.68;2/9/16;($109.47);($37.00);0.0;
40;FReversalSwing(BUY);Buy to Open;5.0;$76.99;6/20/16;;($35.25);5.0;
41;FReversalSwing(BUY);Buy to Open;5.0;$76.53;6/23/16;;($22.30);10.0;
42;FReversalSwing(SELL);Sell to Close;-10.0;$78.14;7/15/16;$13.80;($23.20);0.0;
43;FReversalSwing(BUY);Buy to Open;4.0;$80.58;11/3/16;;($22.92);4.0;
44;FReversalSwing(BUY);Buy to Open;4.0;$80.36;11/7/16;;($6.88);8.0;
45;FReversalSwing(SELL);Sell to Close;-8.0;$82.88;11/9/16;$19.28;($3.92);0.0;
