Strategy report
Symbol: ZBRA
Work Time: 10/30/92 - 9/6/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;239.0;$4.17;10/30/92;;$26.56;239.0;
2;keepbusy_cross(SELL);Sell to Close;-239.0;$5.13;2/10/93;$231.17;$231.17;0.0;
3;keepbusy_cross(Buy);Buy to Open;101.0;$9.89;10/1/93;;$242.39;101.0;
4;keepbusy_cross(SELL);Sell to Close;-101.0;$11.92;1/5/94;$205.25;$436.41;0.0;
5;keepbusy_cross(Buy);Buy to Open;115.0;$8.68;1/3/95;;$396.48;115.0;
6;keepbusy_cross(SELL);Sell to Close;-115.0;$8.38;1/4/95;($34.64);$401.77;0.0;
7;keepbusy_cross(Buy);Buy to Open;113.0;$8.78;3/17/95;;$420.61;113.0;
8;keepbusy_cross(SELL);Sell to Close;-113.0;$8.62;4/5/95;($17.44);$384.33;0.0;
9;keepbusy_cross(Buy);Buy to Open;85.0;$11.67;5/9/97;;$441.01;85.0;
10;keepbusy_cross(SELL);Sell to Close;-85.0;$11.97;7/2/97;$25.62;$409.95;0.0;
11;keepbusy_cross(Buy);Buy to Open;64.0;$15.56;9/26/97;;$402.84;64.0;
12;keepbusy_cross(SELL);Sell to Close;-64.0;$14.22;10/24/97;($85.34);$324.61;0.0;
13;keepbusy_cross(Buy);Buy to Open;63.0;$15.78;11/6/98;;$310.61;63.0;
14;keepbusy_cross(SELL);Sell to Close;-63.0;$15.03;11/10/98;($47.18);$277.43;0.0;
15;keepbusy_cross(Buy);Buy to Open;47.0;$21.25;11/2/01;;$284.11;47.0;
16;keepbusy_cross(SELL);Sell to Close;-47.0;$23.24;1/22/02;$93.67;$371.09;0.0;
17;keepbusy_cross(Buy);Buy to Open;39.0;$25.06;4/19/02;;$393.80;39.0;
18;keepbusy_cross(SELL);Sell to Close;-39.0;$23.97;4/26/02;($42.85);$328.25;0.0;
19;keepbusy_cross(Buy);Buy to Open;26.0;$37.96;10/10/03;;$345.23;26.0;
20;keepbusy_cross(SELL);Sell to Close;-26.0;$42.15;1/30/04;$109.00;$437.24;0.0;
21;keepbusy_cross(Buy);Buy to Open;21.0;$46.87;2/13/04;;$428.56;21.0;
22;keepbusy_cross(SELL);Sell to Close;-21.0;$43.31;2/24/04;($74.74);$362.50;0.0;
23;keepbusy_cross(Buy);Buy to Open;22.0;$45.28;3/17/06;;$364.26;22.0;
24;keepbusy_cross(SELL);Sell to Close;-22.0;$44.46;4/3/06;($18.10);$344.41;0.0;
25;keepbusy_cross(Buy);Buy to Open;23.0;$42.28;7/20/07;;$331.53;23.0;
26;keepbusy_cross(SELL);Sell to Close;-23.0;$34.20;7/26/07;($185.84);$158.57;0.0;
27;keepbusy_cross(Buy);Buy to Open;23.0;$42.59;7/22/11;;$161.10;23.0;
28;keepbusy_cross(SELL);Sell to Close;-23.0;$41.76;7/27/11;($19.07);$139.50;0.0;
29;keepbusy_cross(Buy);Buy to Open;26.0;$37.83;11/9/12;;$147.30;26.0;
30;keepbusy_cross(SELL);Sell to Close;-26.0;$37.30;11/12/12;($13.67);$125.83;0.0;
31;keepbusy_cross(Buy);Buy to Open;8.0;$121.17;1/12/18;;$141.67;8.0;
32;keepbusy_cross(SELL);Sell to Close;-8.0;$111.36;2/12/18;($78.51);$47.33;0.0;
33;keepbusy_cross(Buy);Buy to Open;6.0;$153.12;5/11/18;;$62.03;6.0;
34;keepbusy_cross(SELL);Sell to Close;-6.0;$141.66;6/26/18;($68.77);($21.45);0.0;
35;keepbusy_cross(Buy);Buy to Open;4.0;$211.08;10/25/19;;$10.55;4.0;
36;keepbusy_cross(SELL);Sell to Close;-4.0;$247.31;1/28/20;$144.92;$123.47;0.0;
37;keepbusy_cross(Buy);Buy to Open;3.0;$328.32;7/12/24;;$114.08;3.0;
38;keepbusy_cross(SELL);Sell to Close;-3.0;$307.71;8/6/24;($61.83);$61.64;0.0;
39;keepbusy_cross(Buy);Buy to Open;2.0;$343.21;8/16/24;;$63.50;2.0;
40;keepbusy_cross(SELL);Sell to Close;-2.0;$324.41;9/6/24;($37.61);$24.04;0.0;


Max trade P/L: $231.17;

Total P/L: $24.04;

Total order(s): 20;
