Strategy report
Symbol: OSK
Work Time: 1/7/94 - 10/22/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;607.0;$1.65;1/7/94;;$63.23;607.0;
2;keepbusy_cross(SELL);Sell to Close;-607.0;$1.76;3/18/94;$67.02;$67.02;0.0;
3;keepbusy_cross(Buy);Buy to Open;521.0;$1.92;1/27/95;;$77.88;521.0;
4;keepbusy_cross(SELL);Sell to Close;-521.0;$2.08;4/27/95;$86.84;$153.86;0.0;
5;keepbusy_cross(Buy);Buy to Open;436.0;$2.29;8/25/95;;$131.16;436.0;
6;keepbusy_cross(SELL);Sell to Close;-436.0;$2.38;11/21/95;$39.33;$193.19;0.0;
7;keepbusy_cross(Buy);Buy to Open;403.0;$2.48;12/8/95;;$193.19;403.0;
8;keepbusy_cross(SELL);Sell to Close;-403.0;$2.42;1/23/96;($21.89);$171.30;0.0;
9;keepbusy_cross(Buy);Buy to Open;231.0;$4.31;8/21/98;;$195.36;231.0;
10;keepbusy_cross(SELL);Sell to Close;-231.0;$4.16;8/28/98;($36.18);$135.12;0.0;
11;keepbusy_cross(Buy);Buy to Open;125.0;$7.94;1/14/00;;$142.93;125.0;
12;keepbusy_cross(SELL);Sell to Close;-125.0;$7.34;1/28/00;($74.88);$60.24;0.0;
13;keepbusy_cross(Buy);Buy to Open;108.0;$9.25;8/18/00;;$85.56;108.0;
14;keepbusy_cross(SELL);Sell to Close;-108.0;$8.66;8/25/00;($63.34);($3.09);0.0;
15;keepbusy_cross(Buy);Buy to Open;67.0;$14.84;11/8/02;;($15.82);67.0;
16;keepbusy_cross(SELL);Sell to Close;-67.0;$14.53;12/20/02;($20.60);($23.70);0.0;
17;keepbusy_cross(Buy);Buy to Open;28.0;$34.99;1/28/05;;$3.18;28.0;
18;keepbusy_cross(SELL);Sell to Close;-28.0;$38.30;4/18/05;$92.68;$68.98;0.0;
19;keepbusy_cross(Buy);Buy to Open;27.0;$36.70;11/6/09;;$68.71;27.0;
20;keepbusy_cross(SELL);Sell to Close;-27.0;$35.36;12/15/09;($36.07);$32.92;0.0;
21;keepbusy_cross(Buy);Buy to Open;30.0;$32.60;1/7/13;;$31.12;30.0;
22;keepbusy_cross(SELL);Sell to Close;-30.0;$38.76;4/8/13;$184.80;$217.72;0.0;
23;keepbusy_cross(Buy);Buy to Open;18.0;$53.99;1/31/14;;$220.42;18.0;
24;keepbusy_cross(SELL);Sell to Close;-18.0;$50.46;2/5/14;($63.59);$154.13;0.0;
25;keepbusy_cross(Buy);Buy to Open;13.0;$73.88;8/4/17;;$168.56;13.0;
26;keepbusy_cross(SELL);Sell to Close;-13.0;$87.47;2/5/18;$176.69;$330.82;0.0;
27;keepbusy_cross(Buy);Buy to Open;9.0;$106.16;10/18/24;;$348.64;9.0;
28;keepbusy_cross(SELL);Sell to Close;-9.0;$104.84;10/22/24;($11.90);$318.93;0.0;


Max trade P/L: $184.80;

Total P/L: $318.93;

Total order(s): 14;
