Strategy report
Symbol: ALRM
Work Time: 6/24/16 - 1/6/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;39.0;$25.09;6/24/16;;($2.73);39.0;
2;keepbusy_cross(SELL);Sell to Close;-39.0;$27.02;9/1/16;$75.33;$75.33;0.0;
3;keepbusy_cross(Buy);Buy to Open;15.0;$65.12;11/6/20;;$195.78;15.0;
4;keepbusy_cross(SELL);Sell to Close;-15.0;$91.94;2/24/21;$402.30;$477.63;0.0;
5;keepbusy_cross(Buy);Buy to Open;11.0;$85.88;11/5/21;;$517.67;11.0;
6;keepbusy_cross(SELL);Sell to Close;-11.0;$82.65;11/19/21;($35.52);$442.11;0.0;
7;keepbusy_cross(Buy);Buy to Open;11.0;$84.37;12/31/21;;$446.95;11.0;
8;keepbusy_cross(SELL);Sell to Close;-11.0;$81.68;1/6/22;($29.62);$412.49;0.0;


Max trade P/L: $402.30;

Total P/L: $412.49;

Total order(s): 4;
