Strategy report
Symbol: AVAV
Work Time: 1/5/09 - 1/3/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;26.0;$38.26;1/5/09;;$29.12;26.0;
2;keepbusy_cross(SELL);Sell to Close;-26.0;$33.06;1/15/09;($135.11);($135.11);0.0;
3;keepbusy_cross(Buy);Buy to Open;33.0;$29.62;10/23/09;;($156.23);33.0;
4;keepbusy_cross(SELL);Sell to Close;-33.0;$28.87;10/27/09;($24.87);($159.98);0.0;
5;keepbusy_cross(Buy);Buy to Open;28.0;$35.35;7/1/11;;($155.22);28.0;
6;keepbusy_cross(SELL);Sell to Close;-28.0;$30.92;7/26/11;($123.98);($283.96);0.0;
7;keepbusy_cross(Buy);Buy to Open;32.0;$31.13;10/21/11;;($256.76);32.0;
8;keepbusy_cross(SELL);Sell to Close;-32.0;$30.05;11/22/11;($34.47);($318.43);0.0;
9;keepbusy_cross(Buy);Buy to Open;32.0;$31.21;2/14/14;;($309.15);32.0;
10;keepbusy_cross(SELL);Sell to Close;-32.0;$34.82;4/25/14;$115.43;($203.00);0.0;
11;keepbusy_cross(Buy);Buy to Open;11.0;$90.51;11/18/22;;($178.58);11.0;
12;keepbusy_cross(SELL);Sell to Close;-11.0;$88.08;11/30/22;($26.76);($229.76);0.0;
13;keepbusy_cross(Buy);Buy to Open;10.0;$94.00;2/3/23;;($250.16);10.0;
14;keepbusy_cross(SELL);Sell to Close;-10.0;$86.25;2/10/23;($77.45);($307.21);0.0;
15;keepbusy_cross(Buy);Buy to Open;8.0;$113.48;9/11/23;;($308.49);8.0;
16;keepbusy_cross(SELL);Sell to Close;-8.0;$123.33;1/3/24;$78.84;($228.37);0.0;


Max trade P/L: $115.43;

Total P/L: ($228.37);

Total order(s): 8;
