Strategy report
Symbol: BANC
Work Time: 12/21/12 - 9/11/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;81.0;$12.33;12/21/12;;($3.24);81.0;
2;keepbusy_cross(SELL);Sell to Close;-81.0;$11.92;12/28/12;($32.91);($32.91);0.0;
3;keepbusy_cross(Buy);Buy to Open;67.0;$14.81;2/5/16;;($22.19);67.0;
4;keepbusy_cross(SELL);Sell to Close;-67.0;$14.52;2/10/16;($19.45);($52.36);0.0;
5;keepbusy_cross(Buy);Buy to Open;45.0;$22.15;6/9/17;;($32.11);45.0;
6;keepbusy_cross(SELL);Sell to Close;-45.0;$21.09;6/22/17;($47.55);($99.91);0.0;
7;keepbusy_cross(Buy);Buy to Open;66.0;$14.95;5/10/24;;($91.33);66.0;
8;keepbusy_cross(SELL);Sell to Close;-66.0;$14.01;5/14/24;($61.99);($161.91);0.0;
9;keepbusy_cross(Buy);Buy to Open;71.0;$13.93;8/23/24;;($111.50);71.0;
10;keepbusy_cross(SELL);Sell to Close;-71.0;$13.67;9/11/24;($18.42);($180.32);0.0;


Max trade P/L: ($18.42);

Total P/L: ($180.32);

Total order(s): 5;
