Strategy report
Symbol: BEN
Work Time: 3/4/05 - 1/19/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;41.0;$23.95;3/4/05;;$13.94;41.0;
2;keepbusy_cross(SELL);Sell to Close;-41.0;$23.12;3/24/05;($33.76);($33.76);0.0;
3;keepbusy_cross(Buy);Buy to Open;29.0;$33.60;1/27/06;;($32.79);29.0;
4;keepbusy_cross(SELL);Sell to Close;-29.0;$32.14;2/6/06;($42.36);($76.12);0.0;
5;keepbusy_cross(Buy);Buy to Open;32.0;$30.60;8/4/06;;($61.72);32.0;
6;keepbusy_cross(SELL);Sell to Close;-32.0;$35.46;11/28/06;$155.50;$79.38;0.0;
7;keepbusy_cross(Buy);Buy to Open;22.0;$43.84;12/22/17;;$80.92;22.0;
8;keepbusy_cross(SELL);Sell to Close;-22.0;$43.21;1/3/18;($13.91);$65.46;0.0;
9;keepbusy_cross(Buy);Buy to Open;44.0;$22.27;11/30/20;;$53.14;44.0;
10;keepbusy_cross(SELL);Sell to Close;-44.0;$25.98;3/5/21;$163.27;$228.73;0.0;
11;keepbusy_cross(Buy);Buy to Open;27.0;$36.27;11/5/21;;$218.20;27.0;
12;keepbusy_cross(SELL);Sell to Close;-27.0;$32.24;12/2/21;($108.88);$119.85;0.0;
13;keepbusy_cross(Buy);Buy to Open;29.0;$34.10;1/7/22;;$150.59;29.0;
14;keepbusy_cross(SELL);Sell to Close;-29.0;$33.97;1/19/22;($3.63);$116.21;0.0;
Max trade P/L: $163.27;Total P/L: $116.21;Total order(s): 7;
