Strategy report
Symbol: CNO
Work Time: 4/21/06 - 8/17/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;39.0;$25.48;4/21/06;;$3.12;39.0;
2;keepbusy_cross(SELL);Sell to Close;-39.0;$22.50;5/5/06;($116.22);($116.22);0.0;
3;keepbusy_cross(Buy);Buy to Open;158.0;$6.31;3/12/10;;($116.22);158.0;
4;keepbusy_cross(SELL);Sell to Close;-158.0;$5.86;5/5/10;($70.65);($186.87);0.0;
5;keepbusy_cross(Buy);Buy to Open;134.0;$7.44;3/4/11;;($210.99);134.0;
6;keepbusy_cross(SELL);Sell to Close;-134.0;$6.74;3/16/11;($93.80);($280.67);0.0;
7;keepbusy_cross(Buy);Buy to Open;84.0;$11.85;5/10/13;;($272.27);84.0;
8;keepbusy_cross(SELL);Sell to Close;-84.0;$11.37;5/24/13;($40.70);($321.37);0.0;
9;keepbusy_cross(Buy);Buy to Open;43.0;$22.94;9/22/17;;($315.35);43.0;
10;keepbusy_cross(SELL);Sell to Close;-43.0;$23.19;11/16/17;$10.75;($310.62);0.0;
11;keepbusy_cross(Buy);Buy to Open;37.0;$26.38;1/12/18;;($321.35);37.0;
12;keepbusy_cross(SELL);Sell to Close;-37.0;$24.78;2/1/18;($59.18);($369.80);0.0;
13;keepbusy_cross(Buy);Buy to Open;39.0;$25.18;1/7/22;;($359.27);39.0;
14;keepbusy_cross(SELL);Sell to Close;-39.0;$24.43;1/24/22;($29.12);($398.91);0.0;
15;keepbusy_cross(Buy);Buy to Open;42.0;$23.53;6/30/23;;($393.03);42.0;
16;keepbusy_cross(SELL);Sell to Close;-42.0;$23.74;8/17/23;$8.82;($390.09);0.0;


Max trade P/L: $10.75;

Total P/L: ($390.09);

Total order(s): 8;
