Strategy report
Symbol: CPB
Work Time: 9/22/95 - 7/22/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;40.0;$24.75;9/22/95;;$7.50;40.0;
2;keepbusy_cross(SELL);Sell to Close;-40.0;$30.76;3/4/96;$240.28;$240.28;0.0;
3;keepbusy_cross(Buy);Buy to Open;28.0;$34.94;6/28/96;;$249.03;28.0;
4;keepbusy_cross(SELL);Sell to Close;-28.0;$32.55;7/22/96;($66.85);$173.43;0.0;
5;keepbusy_cross(Buy);Buy to Open;27.0;$36.56;9/9/96;;$198.74;27.0;
6;keepbusy_cross(SELL);Sell to Close;-27.0;$40.21;12/9/96;$98.47;$271.89;0.0;
7;keepbusy_cross(Buy);Buy to Open;19.0;$51.94;10/10/97;;$282.58;19.0;
8;keepbusy_cross(SELL);Sell to Close;-19.0;$49.86;10/28/97;($39.47);$232.42;0.0;
9;keepbusy_cross(Buy);Buy to Open;17.0;$57.13;10/9/98;;$221.79;17.0;
10;keepbusy_cross(SELL);Sell to Close;-17.0;$53.29;10/30/98;($65.24);$167.18;0.0;
11;keepbusy_cross(Buy);Buy to Open;38.0;$25.86;9/8/03;;$195.68;38.0;
12;keepbusy_cross(SELL);Sell to Close;-38.0;$25.84;10/30/03;($0.68);$166.50;0.0;
13;keepbusy_cross(Buy);Buy to Open;34.0;$29.10;4/29/05;;$188.26;34.0;
14;keepbusy_cross(SELL);Sell to Close;-34.0;$29.92;7/8/05;$27.88;$194.38;0.0;
15;keepbusy_cross(Buy);Buy to Open;32.0;$31.06;11/28/05;;$187.98;32.0;
16;keepbusy_cross(SELL);Sell to Close;-32.0;$29.87;12/5/05;($38.18);$156.20;0.0;
17;keepbusy_cross(Buy);Buy to Open;29.0;$33.71;2/27/12;;$150.69;29.0;
18;keepbusy_cross(SELL);Sell to Close;-29.0;$32.72;3/7/12;($28.75);$127.45;0.0;
19;keepbusy_cross(Buy);Buy to Open;15.0;$66.50;5/13/16;;$121.45;15.0;
20;keepbusy_cross(SELL);Sell to Close;-15.0;$63.15;5/19/16;($50.31);$77.14;0.0;
21;keepbusy_cross(Buy);Buy to Open;20.0;$48.44;6/27/22;;$71.14;20.0;
22;keepbusy_cross(SELL);Sell to Close;-20.0;$47.77;7/22/22;($13.36);$63.78;0.0;
Max trade P/L: $240.28;Total P/L: $63.78;Total order(s): 11;
