Strategy report
Symbol: CWST
Work Time: 1/27/06 - 8/5/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;75.0;$13.21;1/27/06;;$10.50;75.0;
2;keepbusy_cross(SELL);Sell to Close;-75.0;$13.39;3/9/06;$13.62;$13.62;0.0;
3;keepbusy_cross(Buy);Buy to Open;139.0;$7.17;11/20/15;;($33.64);139.0;
4;keepbusy_cross(SELL);Sell to Close;-139.0;$6.32;12/4/15;($118.15);($104.53);0.0;
5;keepbusy_cross(Buy);Buy to Open;151.0;$6.58;3/4/16;;($86.41);151.0;
6;keepbusy_cross(SELL);Sell to Close;-151.0;$6.75;5/18/16;$26.32;($78.20);0.0;
7;keepbusy_cross(Buy);Buy to Open;98.0;$10.17;9/30/16;;($65.46);98.0;
8;keepbusy_cross(SELL);Sell to Close;-98.0;$12.24;1/24/17;$202.76;$124.56;0.0;
9;keepbusy_cross(Buy);Buy to Open;63.0;$15.70;6/9/17;;$128.34;63.0;
10;keepbusy_cross(SELL);Sell to Close;-63.0;$15.72;8/4/17;$1.35;$125.92;0.0;
11;keepbusy_cross(Buy);Buy to Open;36.0;$27.18;7/27/18;;$129.52;36.0;
12;keepbusy_cross(SELL);Sell to Close;-36.0;$29.10;10/11/18;$69.10;$195.01;0.0;
13;keepbusy_cross(Buy);Buy to Open;31.0;$31.93;11/9/18;;$195.63;31.0;
14;keepbusy_cross(SELL);Sell to Close;-31.0;$30.70;11/19/18;($38.10);$156.91;0.0;
15;keepbusy_cross(Buy);Buy to Open;28.0;$35.23;4/22/19;;$165.59;28.0;
16;keepbusy_cross(SELL);Sell to Close;-28.0;$42.90;9/10/19;$214.75;$371.66;0.0;
17;keepbusy_cross(Buy);Buy to Open;21.0;$46.83;1/6/20;;$389.72;21.0;
18;keepbusy_cross(SELL);Sell to Close;-21.0;$49.09;3/2/20;$47.46;$419.12;0.0;
19;keepbusy_cross(Buy);Buy to Open;17.0;$56.72;10/2/20;;$432.55;17.0;
20;keepbusy_cross(SELL);Sell to Close;-17.0;$56.25;10/22/20;($7.99);$411.13;0.0;
21;keepbusy_cross(Buy);Buy to Open;16.0;$61.78;12/18/20;;$427.77;16.0;
22;keepbusy_cross(SELL);Sell to Close;-16.0;$59.56;1/11/21;($35.57);$375.56;0.0;
23;keepbusy_cross(Buy);Buy to Open;12.0;$80.79;3/31/23;;$398.00;12.0;
24;keepbusy_cross(SELL);Sell to Close;-12.0;$88.09;6/14/23;$87.58;$463.14;0.0;
25;keepbusy_cross(Buy);Buy to Open;9.0;$101.65;7/12/24;;$475.20;9.0;
26;keepbusy_cross(SELL);Sell to Close;-9.0;$96.07;8/5/24;($50.22);$412.92;0.0;


Max trade P/L: $214.75;

Total P/L: $412.92;

Total order(s): 13;
