Strategy report
Symbol: DOX
Work Time: 1/12/01 - 7/24/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;14.0;$70.69;1/12/01;;$13.13;14.0;
2;keepbusy_cross(SELL);Sell to Close;-14.0;$66.09;2/15/01;($64.37);($64.37);0.0;
3;keepbusy_cross(Buy);Buy to Open;37.0;$26.62;1/9/04;;($77.69);37.0;
4;keepbusy_cross(SELL);Sell to Close;-37.0;$26.52;3/12/04;($3.84);($68.21);0.0;
5;keepbusy_cross(Buy);Buy to Open;35.0;$28.20;12/4/09;;($67.51);35.0;
6;keepbusy_cross(SELL);Sell to Close;-35.0;$29.56;5/7/10;$47.71;($20.50);0.0;
7;keepbusy_cross(Buy);Buy to Open;35.0;$28.30;1/14/11;;($1.60);35.0;
8;keepbusy_cross(SELL);Sell to Close;-35.0;$28.61;3/16/11;$10.85;($9.65);0.0;
9;keepbusy_cross(Buy);Buy to Open;31.0;$31.92;8/10/12;;($5.93);31.0;
10;keepbusy_cross(SELL);Sell to Close;-31.0;$31.55;11/7/12;($11.55);($21.21);0.0;
11;keepbusy_cross(Buy);Buy to Open;21.0;$47.03;5/2/14;;($15.75);21.0;
12;keepbusy_cross(SELL);Sell to Close;-21.0;$47.11;6/24/14;$1.65;($19.55);0.0;
13;keepbusy_cross(Buy);Buy to Open;17.0;$55.96;6/5/15;;($14.28);17.0;
14;keepbusy_cross(SELL);Sell to Close;-17.0;$55.05;7/1/15;($15.44);($35.00);0.0;
15;keepbusy_cross(Buy);Buy to Open;17.0;$58.10;8/7/15;;($39.25);17.0;
16;keepbusy_cross(SELL);Sell to Close;-17.0;$53.93;8/25/15;($70.89);($105.89);0.0;
17;keepbusy_cross(Buy);Buy to Open;17.0;$58.07;2/22/16;;($92.63);17.0;
18;keepbusy_cross(SELL);Sell to Close;-17.0;$56.21;3/8/16;($31.69);($137.58);0.0;
19;keepbusy_cross(Buy);Buy to Open;16.0;$59.57;12/9/16;;($121.58);16.0;
20;keepbusy_cross(SELL);Sell to Close;-16.0;$59.09;12/16/16;($7.68);($145.26);0.0;
21;keepbusy_cross(Buy);Buy to Open;15.0;$65.77;12/22/17;;($145.71);15.0;
22;keepbusy_cross(SELL);Sell to Close;-15.0;$65.53;2/6/18;($3.60);($148.85);0.0;
23;keepbusy_cross(Buy);Buy to Open;14.0;$67.70;3/9/18;;($130.23);14.0;
24;keepbusy_cross(SELL);Sell to Close;-14.0;$67.25;3/23/18;($6.35);($155.20);0.0;
25;keepbusy_cross(Buy);Buy to Open;14.0;$68.75;7/13/18;;($154.36);14.0;
26;keepbusy_cross(SELL);Sell to Close;-14.0;$67.71;7/30/18;($14.54);($169.74);0.0;
27;keepbusy_cross(Buy);Buy to Open;16.0;$62.11;11/13/20;;($136.46);16.0;
28;keepbusy_cross(SELL);Sell to Close;-16.0;$71.87;4/1/21;$156.24;($13.51);0.0;
29;keepbusy_cross(Buy);Buy to Open;11.0;$86.62;7/22/22;;($11.75);11.0;
30;keepbusy_cross(SELL);Sell to Close;-11.0;$84.04;9/2/22;($28.43);($41.94);0.0;
31;keepbusy_cross(Buy);Buy to Open;11.0;$87.42;11/28/22;;($52.83);11.0;
32;keepbusy_cross(SELL);Sell to Close;-11.0;$84.63;12/20/22;($30.68);($72.62);0.0;
33;keepbusy_cross(Buy);Buy to Open;10.0;$96.68;6/16/23;;($63.42);10.0;
34;keepbusy_cross(SELL);Sell to Close;-10.0;$94.55;7/24/23;($21.35);($93.97);0.0;


Max trade P/L: $156.24;

Total P/L: ($93.97);

Total order(s): 17;
