Strategy report
Symbol: ENPH
Work Time: 5/16/14 - 9/9/19


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;123.0;$8.09;5/16/14;;$36.90;123.0;
2;keepbusy_cross(SELL);Sell to Close;-123.0;$13.05;10/3/14;$609.69;$609.69;0.0;
3;keepbusy_cross(Buy);Buy to Open;302.0;$3.31;3/2/18;;$645.93;302.0;
4;keepbusy_cross(SELL);Sell to Close;-302.0;$4.83;6/12/18;$459.39;$1,069.08;0.0;
5;keepbusy_cross(Buy);Buy to Open;184.0;$5.42;11/30/18;;$1,065.40;184.0;
6;keepbusy_cross(SELL);Sell to Close;-184.0;$5.01;12/21/18;($75.66);$993.42;0.0;
7;keepbusy_cross(Buy);Buy to Open;177.0;$5.63;1/11/19;;$1,002.27;177.0;
8;keepbusy_cross(SELL);Sell to Close;-177.0;$24.40;9/9/19;$3,321.86;$4,315.28;0.0;


Max trade P/L: $3,321.86;

Total P/L: $4,315.28;

Total order(s): 4;
