Strategy report
Symbol: EXR
Work Time: 5/27/05 - 11/21/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;72.0;$13.85;5/27/05;;$23.76;72.0;
2;keepbusy_cross(SELL);Sell to Close;-72.0;$14.69;8/8/05;$60.67;$60.67;0.0;
3;keepbusy_cross(Buy);Buy to Open;54.0;$18.32;11/27/06;;$33.13;54.0;
4;keepbusy_cross(SELL);Sell to Close;-54.0;$17.70;11/29/06;($33.64);$27.03;0.0;
5;keepbusy_cross(Buy);Buy to Open;79.0;$12.56;3/12/10;;$39.67;79.0;
6;keepbusy_cross(SELL);Sell to Close;-79.0;$13.75;5/24/10;$93.90;$120.93;0.0;
7;keepbusy_cross(Buy);Buy to Open;62.0;$15.95;9/3/10;;$142.01;62.0;
8;keepbusy_cross(SELL);Sell to Close;-62.0;$15.86;10/20/10;($5.30);$115.63;0.0;
9;keepbusy_cross(Buy);Buy to Open;57.0;$17.25;11/5/10;;$119.62;57.0;
10;keepbusy_cross(SELL);Sell to Close;-57.0;$16.17;11/16/10;($61.54);$54.09;0.0;
11;keepbusy_cross(Buy);Buy to Open;47.0;$21.03;4/25/11;;$65.84;47.0;
12;keepbusy_cross(SELL);Sell to Close;-47.0;$20.71;6/10/11;($14.93);$39.17;0.0;
13;keepbusy_cross(Buy);Buy to Open;14.0;$66.93;3/20/15;;$71.23;14.0;
14;keepbusy_cross(SELL);Sell to Close;-14.0;$66.33;4/16/15;($8.35);$30.82;0.0;
15;keepbusy_cross(Buy);Buy to Open;14.0;$70.57;5/15/15;;$53.92;14.0;
16;keepbusy_cross(SELL);Sell to Close;-14.0;$67.79;6/5/15;($38.91);($8.09);0.0;
17;keepbusy_cross(Buy);Buy to Open;12.0;$77.63;9/1/17;;($6.29);12.0;
18;keepbusy_cross(SELL);Sell to Close;-12.0;$77.62;9/13/17;($0.15);($8.24);0.0;
19;keepbusy_cross(Buy);Buy to Open;11.0;$87.78;4/6/18;;($18.80);11.0;
20;keepbusy_cross(SELL);Sell to Close;-11.0;$85.09;4/13/18;($29.57);($37.81);0.0;
21;keepbusy_cross(Buy);Buy to Open;7.0;$130.10;11/17/23;;($50.69);7.0;
22;keepbusy_cross(SELL);Sell to Close;-7.0;$127.56;11/21/23;($17.75);($55.56);0.0;


Max trade P/L: $93.90;

Total P/L: ($55.56);

Total order(s): 11;
