Strategy report
Symbol: GEF
Work Time: 12/19/97 - 8/23/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;57.0;$17.44;12/19/97;;$10.69;57.0;
2;keepbusy_cross(SELL);Sell to Close;-57.0;$17.10;12/30/97;($19.30);($19.30);0.0;
3;keepbusy_cross(Buy);Buy to Open;66.0;$14.94;9/22/00;;$26.08;66.0;
4;keepbusy_cross(SELL);Sell to Close;-66.0;$14.70;9/27/00;($15.65);($34.95);0.0;
5;keepbusy_cross(Buy);Buy to Open;30.0;$32.95;3/17/06;;($10.20);30.0;
6;keepbusy_cross(SELL);Sell to Close;-30.0;$32.20;4/28/06;($22.43);($57.38);0.0;
7;keepbusy_cross(Buy);Buy to Open;27.0;$35.78;8/18/06;;($55.62);27.0;
8;keepbusy_cross(SELL);Sell to Close;-27.0;$34.58;8/24/06;($32.38);($89.76);0.0;
9;keepbusy_cross(Buy);Buy to Open;15.0;$66.43;12/14/07;;($131.91);15.0;
10;keepbusy_cross(SELL);Sell to Close;-15.0;$61.18;1/7/08;($78.69);($168.45);0.0;
11;keepbusy_cross(Buy);Buy to Open;15.0;$65.53;2/1/08;;($137.10);15.0;
12;keepbusy_cross(SELL);Sell to Close;-15.0;$62.65;2/20/08;($43.15);($211.60);0.0;
13;keepbusy_cross(Buy);Buy to Open;14.0;$67.74;2/29/08;;($244.50);14.0;
14;keepbusy_cross(SELL);Sell to Close;-14.0;$64.09;3/11/08;($51.09);($262.69);0.0;
15;keepbusy_cross(Buy);Buy to Open;15.0;$66.09;7/11/11;;($267.49);15.0;
16;keepbusy_cross(SELL);Sell to Close;-15.0;$64.10;7/15/11;($29.83);($292.52);0.0;
17;keepbusy_cross(Buy);Buy to Open;18.0;$54.94;7/12/13;;($293.60);18.0;
18;keepbusy_cross(SELL);Sell to Close;-18.0;$54.47;9/3/13;($8.54);($301.07);0.0;
19;keepbusy_cross(Buy);Buy to Open;19.0;$51.10;11/11/16;;($279.03);19.0;
20;keepbusy_cross(SELL);Sell to Close;-19.0;$51.29;1/9/17;$3.61;($297.46);0.0;
21;keepbusy_cross(Buy);Buy to Open;15.0;$64.87;12/8/17;;($310.06);15.0;
22;keepbusy_cross(SELL);Sell to Close;-15.0;$58.33;2/5/18;($98.06);($395.52);0.0;
23;keepbusy_cross(Buy);Buy to Open;18.0;$52.76;3/5/21;;($359.88);18.0;
24;keepbusy_cross(SELL);Sell to Close;-18.0;$60.18;6/4/21;$133.58;($261.94);0.0;
25;keepbusy_cross(Buy);Buy to Open;15.0;$65.92;9/3/21;;($224.74);15.0;
26;keepbusy_cross(SELL);Sell to Close;-15.0;$60.97;9/21/21;($74.25);($336.19);0.0;
27;keepbusy_cross(Buy);Buy to Open;14.0;$70.94;11/12/21;;($357.61);14.0;
28;keepbusy_cross(SELL);Sell to Close;-14.0;$66.45;11/29/21;($62.93);($399.12);0.0;
29;keepbusy_cross(Buy);Buy to Open;15.0;$64.60;6/10/22;;($395.52);15.0;
30;keepbusy_cross(SELL);Sell to Close;-15.0;$60.30;6/14/22;($64.48);($463.60);0.0;
31;keepbusy_cross(Buy);Buy to Open;13.0;$73.00;2/3/23;;($472.31);13.0;
32;keepbusy_cross(SELL);Sell to Close;-13.0;$69.44;2/13/23;($46.26);($509.87);0.0;
33;keepbusy_cross(Buy);Buy to Open;14.0;$70.04;6/9/23;;($489.71);14.0;
34;keepbusy_cross(SELL);Sell to Close;-14.0;$69.99;8/23/23;($0.74);($510.60);0.0;


Max trade P/L: $133.58;

Total P/L: ($510.60);

Total order(s): 17;
