Strategy report
Symbol: GL
Work Time: 10/6/89 - 7/29/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;137.0;$7.30;10/6/89;;$22.83;137.0;
2;keepbusy_cross(SELL);Sell to Close;-137.0;$6.85;10/17/89;($61.78);($61.78);0.0;
3;keepbusy_cross(Buy);Buy to Open;128.0;$7.80;10/18/91;;($52.30);128.0;
4;keepbusy_cross(SELL);Sell to Close;-128.0;$7.63;11/20/91;($21.97);($83.75);0.0;
5;keepbusy_cross(Buy);Buy to Open;106.0;$9.37;6/12/92;;($99.45);106.0;
6;keepbusy_cross(SELL);Sell to Close;-106.0;$11.33;11/20/92;$208.17;$124.43;0.0;
7;keepbusy_cross(Buy);Buy to Open;112.0;$8.89;9/1/95;;$133.76;112.0;
8;keepbusy_cross(SELL);Sell to Close;-112.0;$9.19;11/2/95;$34.22;$158.65;0.0;
9;keepbusy_cross(Buy);Buy to Open;105.0;$9.44;12/1/95;;$161.56;105.0;
10;keepbusy_cross(SELL);Sell to Close;-105.0;$9.58;1/11/96;$14.29;$172.94;0.0;
11;keepbusy_cross(Buy);Buy to Open;48.0;$20.78;2/27/98;;$172.94;48.0;
12;keepbusy_cross(SELL);Sell to Close;-48.0;$20.25;4/28/98;($25.24);$147.69;0.0;
13;keepbusy_cross(Buy);Buy to Open;55.0;$17.86;3/1/02;;$158.45;55.0;
14;keepbusy_cross(SELL);Sell to Close;-55.0;$17.92;5/8/02;$3.01;$150.71;0.0;
15;keepbusy_cross(Buy);Buy to Open;57.0;$17.30;7/18/03;;$156.54;57.0;
16;keepbusy_cross(SELL);Sell to Close;-57.0;$18.01;10/1/03;$40.45;$191.16;0.0;
17;keepbusy_cross(Buy);Buy to Open;40.0;$24.74;3/10/06;;$202.54;40.0;
18;keepbusy_cross(SELL);Sell to Close;-40.0;$24.85;4/17/06;$4.27;$195.44;0.0;
19;keepbusy_cross(Buy);Buy to Open;36.0;$27.54;9/15/06;;$200.40;36.0;
20;keepbusy_cross(SELL);Sell to Close;-36.0;$27.61;10/26/06;$2.51;$197.95;0.0;
21;keepbusy_cross(Buy);Buy to Open;34.0;$29.22;2/2/07;;$202.63;34.0;
22;keepbusy_cross(SELL);Sell to Close;-34.0;$28.49;2/13/07;($24.62);$173.32;0.0;
23;keepbusy_cross(Buy);Buy to Open;33.0;$29.68;4/20/07;;$180.22;33.0;
24;keepbusy_cross(SELL);Sell to Close;-33.0;$29.95;6/11/07;$8.90;$182.22;0.0;
25;keepbusy_cross(Buy);Buy to Open;45.0;$21.76;3/5/10;;$202.82;45.0;
26;keepbusy_cross(SELL);Sell to Close;-45.0;$21.73;5/7/10;($1.57);$180.65;0.0;
27;keepbusy_cross(Buy);Buy to Open;14.0;$69.59;11/11/16;;$186.67;14.0;
28;keepbusy_cross(SELL);Sell to Close;-14.0;$75.47;3/28/17;$82.32;$262.97;0.0;
29;keepbusy_cross(Buy);Buy to Open;11.0;$86.38;8/3/18;;$268.36;11.0;
30;keepbusy_cross(SELL);Sell to Close;-11.0;$85.39;9/11/18;($10.89);$252.08;0.0;
31;keepbusy_cross(Buy);Buy to Open;9.0;$108.08;2/7/20;;$256.58;9.0;
32;keepbusy_cross(SELL);Sell to Close;-9.0;$105.64;2/26/20;($21.97);$230.10;0.0;
33;keepbusy_cross(Buy);Buy to Open;10.0;$99.85;3/12/21;;$245.50;10.0;
34;keepbusy_cross(SELL);Sell to Close;-10.0;$95.57;3/26/21;($42.82);$187.28;0.0;
35;keepbusy_cross(Buy);Buy to Open;10.0;$94.14;12/31/21;;$183.08;10.0;
36;keepbusy_cross(SELL);Sell to Close;-10.0;$98.39;2/25/22;$42.55;$229.83;0.0;
37;keepbusy_cross(Buy);Buy to Open;9.0;$100.72;7/22/22;;$229.38;9.0;
38;keepbusy_cross(SELL);Sell to Close;-9.0;$98.52;7/29/22;($19.84);$209.98;0.0;


Max trade P/L: $208.17;

Total P/L: $209.98;

Total order(s): 19;
