Strategy report
Symbol: HLT
Work Time: 5/9/14 - 4/27/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;21.0;$46.45;5/9/14;;$18.53;21.0;
2;keepbusy_cross(SELL);Sell to Close;-21.0;$45.10;5/16/14;($28.32);($28.32);0.0;
3;keepbusy_cross(Buy);Buy to Open;18.0;$54.49;1/26/15;;($15.39);18.0;
4;keepbusy_cross(SELL);Sell to Close;-18.0;$52.95;2/3/15;($27.75);($56.07);0.0;
5;keepbusy_cross(Buy);Buy to Open;6.0;$154.71;12/27/21;;($52.59);6.0;
6;keepbusy_cross(SELL);Sell to Close;-6.0;$145.98;1/19/22;($52.37);($108.44);0.0;
7;keepbusy_cross(Buy);Buy to Open;6.0;$147.01;4/21/23;;($102.38);6.0;
8;keepbusy_cross(SELL);Sell to Close;-6.0;$139.55;4/27/23;($44.74);($153.19);0.0;


Max trade P/L: ($27.75);

Total P/L: ($153.19);

Total order(s): 4;
