Strategy report
Symbol: KIM
Work Time: 5/12/95 - 1/21/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;115.0;$8.67;5/12/95;;$3.19;115.0;
2;keepbusy_cross(SELL);Sell to Close;-115.0;$8.40;6/9/95;($30.38);($30.38);0.0;
3;keepbusy_cross(Buy);Buy to Open;111.0;$8.97;8/4/95;;($27.30);111.0;
4;keepbusy_cross(SELL);Sell to Close;-111.0;$8.81;9/20/95;($18.50);($48.88);0.0;
5;keepbusy_cross(Buy);Buy to Open;87.0;$11.46;7/25/97;;($63.38);87.0;
6;keepbusy_cross(SELL);Sell to Close;-87.0;$11.12;9/3/97;($29.58);($78.46);0.0;
7;keepbusy_cross(Buy);Buy to Open;76.0;$13.15;12/18/98;;($92.71);76.0;
8;keepbusy_cross(SELL);Sell to Close;-76.0;$12.71;12/31/98;($33.25);($111.71);0.0;
9;keepbusy_cross(Buy);Buy to Open;43.0;$22.91;1/30/04;;($105.05);43.0;
10;keepbusy_cross(SELL);Sell to Close;-43.0;$23.70;4/6/04;$33.86;($77.85);0.0;
11;keepbusy_cross(Buy);Buy to Open;20.0;$48.26;1/22/07;;($92.65);20.0;
12;keepbusy_cross(SELL);Sell to Close;-20.0;$48.10;3/2/07;($3.17);($81.02);0.0;
13;keepbusy_cross(Buy);Buy to Open;72.0;$13.71;2/22/10;;($86.06);72.0;
14;keepbusy_cross(SELL);Sell to Close;-72.0;$14.36;5/7/10;$46.97;($34.05);0.0;
15;keepbusy_cross(Buy);Buy to Open;64.0;$15.59;9/3/10;;($17.41);64.0;
16;keepbusy_cross(SELL);Sell to Close;-64.0;$16.38;11/17/10;$50.56;$16.51;0.0;
17;keepbusy_cross(Buy);Buy to Open;59.0;$16.93;12/10/18;;$7.66;59.0;
18;keepbusy_cross(SELL);Sell to Close;-59.0;$16.31;12/13/18;($36.54);($20.04);0.0;
19;keepbusy_cross(Buy);Buy to Open;40.0;$24.52;12/31/21;;($14.84);40.0;
20;keepbusy_cross(SELL);Sell to Close;-40.0;$23.72;1/21/22;($31.94);($51.98);0.0;
Max trade P/L: $50.56;Total P/L: ($51.98);Total order(s): 10;
