Strategy report
Symbol: NCNO
Work Time: 12/22/23 - 10/11/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_try(Buy);Buy to Open;100.0;$32.72;12/22/23;;$72.00;100.0;
2;keepbusy_try(SELL);Sell to Close;-100.0;$31.16;1/29/24;($156.04);($156.04);0.0;
3;keepbusy_try(Buy);Buy to Open;100.0;$32.36;7/19/24;;($194.04);100.0;
4;keepbusy_try(SELL);Sell to Close;-100.0;$31.18;8/5/24;($118.00);($274.04);0.0;
5;keepbusy_try(Buy);Buy to Open;100.0;$33.46;10/11/24;;($169.04);100.0;


Max trade P/L: ($118.00);

Total P/L: ($274.04);

Total order(s): 2;
