Strategy report
Symbol: NNN
Work Time: 5/20/94 - 4/29/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;69.0;$14.38;5/20/94;;($17.25);69.0;
2;keepbusy_cross(SELL);Sell to Close;-69.0;$13.89;5/24/94;($33.55);($33.55);0.0;
3;keepbusy_cross(Buy);Buy to Open;63.0;$15.75;8/22/97;;($29.61);63.0;
4;keepbusy_cross(SELL);Sell to Close;-63.0;$15.75;10/29/97;$0.00;($33.55);0.0;
5;keepbusy_cross(Buy);Buy to Open;58.0;$17.00;12/19/97;;($37.18);58.0;
6;keepbusy_cross(SELL);Sell to Close;-58.0;$17.00;2/5/98;$0.00;($33.55);0.0;
7;keepbusy_cross(Buy);Buy to Open;62.0;$15.95;9/13/02;;($27.35);62.0;
8;keepbusy_cross(SELL);Sell to Close;-62.0;$15.57;10/8/02;($23.37);($56.93);0.0;
9;keepbusy_cross(Buy);Buy to Open;55.0;$17.90;12/1/03;;($51.43);55.0;
10;keepbusy_cross(SELL);Sell to Close;-55.0;$17.40;12/4/03;($27.50);($84.43);0.0;
11;keepbusy_cross(Buy);Buy to Open;40.0;$24.88;3/23/07;;($84.03);40.0;
12;keepbusy_cross(SELL);Sell to Close;-40.0;$24.10;3/29/07;($31.30);($115.73);0.0;
13;keepbusy_cross(Buy);Buy to Open;42.0;$23.73;8/24/07;;($110.69);42.0;
14;keepbusy_cross(SELL);Sell to Close;-42.0;$23.27;8/29/07;($19.37);($135.09);0.0;
15;keepbusy_cross(Buy);Buy to Open;38.0;$26.13;4/25/11;;($136.23);38.0;
16;keepbusy_cross(SELL);Sell to Close;-38.0;$25.54;5/24/11;($22.42);($157.51);0.0;
17;keepbusy_cross(Buy);Buy to Open;35.0;$28.07;6/29/12;;($149.81);35.0;
18;keepbusy_cross(SELL);Sell to Close;-35.0;$30.23;10/2/12;$75.54;($81.97);0.0;
19;keepbusy_cross(Buy);Buy to Open;30.0;$32.65;2/8/13;;($77.47);30.0;
20;keepbusy_cross(SELL);Sell to Close;-30.0;$37.84;5/29/13;$155.55;$73.58;0.0;
21;keepbusy_cross(Buy);Buy to Open;17.0;$56.55;9/27/19;;$71.20;17.0;
22;keepbusy_cross(SELL);Sell to Close;-17.0;$56.17;11/6/19;($6.42);$67.16;0.0;
23;keepbusy_cross(Buy);Buy to Open;20.0;$48.06;12/31/21;;$67.36;20.0;
24;keepbusy_cross(SELL);Sell to Close;-20.0;$45.99;1/19/22;($41.33);$25.83;0.0;
25;keepbusy_cross(Buy);Buy to Open;22.0;$44.94;4/1/22;;$44.97;22.0;
26;keepbusy_cross(SELL);Sell to Close;-22.0;$44.88;4/29/22;($1.34);$24.48;0.0;


Max trade P/L: $155.55;

Total P/L: $24.48;

Total order(s): 13;
