Strategy report
Symbol: OKTA
Work Time: 1/26/18 - 11/22/21


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;32.0;$30.52;1/26/18;;$14.72;32.0;
2;keepbusy_cross(SELL);Sell to Close;-32.0;$27.82;2/7/18;($86.40);($86.40);0.0;
3;keepbusy_cross(Buy);Buy to Open;7.0;$128.52;1/10/20;;($80.31);7.0;
4;keepbusy_cross(SELL);Sell to Close;-7.0;$120.44;2/25/20;($56.58);($142.98);0.0;
5;keepbusy_cross(Buy);Buy to Open;3.0;$283.62;2/5/21;;($145.02);3.0;
6;keepbusy_cross(SELL);Sell to Close;-3.0;$261.96;2/24/21;($64.97);($207.95);0.0;
7;keepbusy_cross(Buy);Buy to Open;4.0;$249.71;7/23/21;;($175.15);4.0;
8;keepbusy_cross(SELL);Sell to Close;-4.0;$239.58;8/4/21;($40.54);($248.48);0.0;
9;keepbusy_cross(Buy);Buy to Open;3.0;$262.17;8/27/21;;($247.85);3.0;
10;keepbusy_cross(SELL);Sell to Close;-3.0;$247.30;9/14/21;($44.60);($293.09);0.0;
11;keepbusy_cross(Buy);Buy to Open;3.0;$259.77;10/22/21;;($291.26);3.0;
12;keepbusy_cross(SELL);Sell to Close;-3.0;$245.60;10/29/21;($42.50);($335.59);0.0;
13;keepbusy_cross(Buy);Buy to Open;3.0;$255.70;11/5/21;;($338.02);3.0;
14;keepbusy_cross(SELL);Sell to Close;-3.0;$249.16;11/22/21;($19.61);($355.20);0.0;


Max trade P/L: ($19.61);

Total P/L: ($355.20);

Total order(s): 7;
