Strategy report
Symbol: PAR
Work Time: 10/14/94 - 8/11/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;214.0;$4.67;10/14/94;;$0.00;214.0;
2;keepbusy_cross(SELL);Sell to Close;-214.0;$4.54;11/10/94;($27.11);($27.11);0.0;
3;keepbusy_cross(Buy);Buy to Open;102.0;$9.75;1/6/97;;($44.11);102.0;
4;keepbusy_cross(SELL);Sell to Close;-102.0;$9.13;1/16/97;($63.58);($90.69);0.0;
5;keepbusy_cross(Buy);Buy to Open;120.0;$8.30;5/16/08;;($84.69);120.0;
6;keepbusy_cross(SELL);Sell to Close;-120.0;$7.61;6/23/08;($83.26);($173.95);0.0;
7;keepbusy_cross(Buy);Buy to Open;86.0;$11.52;10/13/17;;($229.85);86.0;
8;keepbusy_cross(SELL);Sell to Close;-86.0;$10.22;10/26/17;($112.06);($286.01);0.0;
9;keepbusy_cross(Buy);Buy to Open;86.0;$11.56;2/26/18;;($323.85);86.0;
10;keepbusy_cross(SELL);Sell to Close;-86.0;$21.58;10/8/18;$861.91;$575.90;0.0;
11;keepbusy_cross(Buy);Buy to Open;23.0;$42.57;11/6/20;;$592.00;23.0;
12;keepbusy_cross(SELL);Sell to Close;-23.0;$71.19;3/5/21;$658.24;$1,234.15;0.0;
13;keepbusy_cross(Buy);Buy to Open;15.0;$65.79;11/12/21;;$1,252.60;15.0;
14;keepbusy_cross(SELL);Sell to Close;-15.0;$65.18;11/15/21;($9.22);$1,224.93;0.0;
15;keepbusy_cross(Buy);Buy to Open;28.0;$35.21;5/19/23;;$1,211.77;28.0;
16;keepbusy_cross(SELL);Sell to Close;-28.0;$33.98;6/26/23;($34.38);$1,190.55;0.0;
17;keepbusy_cross(Buy);Buy to Open;27.0;$35.79;8/4/23;;$1,212.15;27.0;
18;keepbusy_cross(SELL);Sell to Close;-27.0;$32.50;8/11/23;($88.83);$1,101.72;0.0;


Max trade P/L: $861.91;

Total P/L: $1,101.72;

Total order(s): 9;
