Strategy report
Symbol: ROP
Work Time: 5/28/04 - 2/29/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;38.0;$26.30;5/28/04;;$6.65;38.0;
2;keepbusy_cross(SELL);Sell to Close;-38.0;$26.62;7/30/04;$12.32;$12.32;0.0;
3;keepbusy_cross(Buy);Buy to Open;28.0;$34.65;5/6/05;;$23.80;28.0;
4;keepbusy_cross(SELL);Sell to Close;-28.0;$36.88;8/30/05;$62.44;$74.76;0.0;
5;keepbusy_cross(Buy);Buy to Open;24.0;$41.61;1/9/06;;$74.04;24.0;
6;keepbusy_cross(SELL);Sell to Close;-24.0;$39.12;1/24/06;($59.79);$14.97;0.0;
7;keepbusy_cross(Buy);Buy to Open;23.0;$42.63;2/17/06;;$16.58;23.0;
8;keepbusy_cross(SELL);Sell to Close;-23.0;$47.21;5/16/06;$105.25;$120.22;0.0;
9;keepbusy_cross(Buy);Buy to Open;16.0;$62.29;9/13/10;;$147.74;16.0;
10;keepbusy_cross(SELL);Sell to Close;-16.0;$73.39;1/11/11;$177.57;$297.79;0.0;
11;keepbusy_cross(Buy);Buy to Open;8.0;$113.14;11/26/12;;$286.91;8.0;
12;keepbusy_cross(SELL);Sell to Close;-8.0;$109.07;12/5/12;($32.59);$265.20;0.0;
13;keepbusy_cross(Buy);Buy to Open;5.0;$179.99;5/20/16;;$280.75;5.0;
14;keepbusy_cross(SELL);Sell to Close;-5.0;$174.72;5/24/16;($26.35);$238.85;0.0;
15;keepbusy_cross(Buy);Buy to Open;2.0;$431.09;1/4/21;;$215.77;2.0;
16;keepbusy_cross(SELL);Sell to Close;-2.0;$411.49;1/15/21;($39.20);$199.65;0.0;
17;keepbusy_cross(Buy);Buy to Open;1.0;$556.87;2/26/24;;$190.69;1.0;
18;keepbusy_cross(SELL);Sell to Close;-1.0;$542.41;2/29/24;($14.46);$185.19;0.0;
Max trade P/L: $177.57;Total P/L: $185.19;Total order(s): 9;
