Strategy report
Symbol: SEE
Work Time: 11/5/04 - 6/21/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;38.0;$26.21;11/5/04;;$1.52;38.0;
2;keepbusy_cross(SELL);Sell to Close;-38.0;$25.37;1/6/05;($31.67);($31.67);0.0;
3;keepbusy_cross(Buy);Buy to Open;37.0;$26.63;4/8/05;;($37.78);37.0;
4;keepbusy_cross(SELL);Sell to Close;-37.0;$25.82;4/12/05;($29.91);($61.58);0.0;
5;keepbusy_cross(Buy);Buy to Open;47.0;$20.95;11/6/09;;($61.11);47.0;
6;keepbusy_cross(SELL);Sell to Close;-47.0;$21.51;1/7/10;$26.25;($35.33);0.0;
7;keepbusy_cross(Buy);Buy to Open;46.0;$21.67;4/9/10;;($33.95);46.0;
8;keepbusy_cross(SELL);Sell to Close;-46.0;$21.25;4/14/10;($19.42);($54.75);0.0;
9;keepbusy_cross(Buy);Buy to Open;45.0;$22.12;9/17/10;;($37.65);45.0;
10;keepbusy_cross(SELL);Sell to Close;-45.0;$22.45;11/15/10;$14.80;($39.95);0.0;
11;keepbusy_cross(Buy);Buy to Open;21.0;$46.21;2/13/15;;($43.31);21.0;
12;keepbusy_cross(SELL);Sell to Close;-21.0;$44.91;4/16/15;($27.35);($67.30);0.0;
13;keepbusy_cross(Buy);Buy to Open;20.0;$48.33;7/15/16;;($52.30);20.0;
14;keepbusy_cross(SELL);Sell to Close;-20.0;$47.70;7/29/16;($12.55);($79.86);0.0;
15;keepbusy_cross(Buy);Buy to Open;21.0;$47.56;4/16/21;;($66.21);21.0;
16;keepbusy_cross(SELL);Sell to Close;-21.0;$56.29;7/19/21;$183.35;$103.49;0.0;
17;keepbusy_cross(Buy);Buy to Open;26.0;$37.48;5/10/24;;$108.43;26.0;
18;keepbusy_cross(SELL);Sell to Close;-26.0;$35.71;6/21/24;($45.95);$57.54;0.0;
Max trade P/L: $183.35;Total P/L: $57.54;Total order(s): 9;
