Strategy report
Symbol: SIG
Work Time: 4/5/10 - 11/6/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;31.0;$32.09;4/5/10;;$35.65;31.0;
2;keepbusy_cross(SELL);Sell to Close;-31.0;$29.33;5/7/10;($85.71);($85.71);0.0;
3;keepbusy_cross(Buy);Buy to Open;21.0;$46.89;8/10/12;;($92.43);21.0;
4;keepbusy_cross(SELL);Sell to Close;-21.0;$45.13;8/31/12;($37.03);($122.74);0.0;
5;keepbusy_cross(Buy);Buy to Open;9.0;$106.09;6/2/14;;($121.66);9.0;
6;keepbusy_cross(SELL);Sell to Close;-9.0;$106.54;7/25/14;$4.02;($118.72);0.0;
7;keepbusy_cross(Buy);Buy to Open;7.0;$137.16;9/4/15;;($123.13);7.0;
8;keepbusy_cross(SELL);Sell to Close;-7.0;$140.11;11/16/15;$20.65;($98.07);0.0;
9;keepbusy_cross(Buy);Buy to Open;13.0;$75.30;3/31/23;;($65.83);13.0;
10;keepbusy_cross(SELL);Sell to Close;-13.0;$74.71;4/6/23;($7.64);($105.70);0.0;
11;keepbusy_cross(Buy);Buy to Open;12.0;$77.42;11/17/23;;($69.46);12.0;
12;keepbusy_cross(SELL);Sell to Close;-12.0;$100.76;2/29/24;$280.10;$174.40;0.0;
13;keepbusy_cross(Buy);Buy to Open;10.0;$97.16;9/20/24;;$152.60;10.0;
14;keepbusy_cross(SELL);Sell to Close;-10.0;$89.94;11/6/24;($72.16);$102.23;0.0;


Max trade P/L: $280.10;

Total P/L: $102.23;

Total order(s): 7;
