Strategy report
Symbol: SNPS
Work Time: 4/23/93 - 10/26/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;114.0;$8.75;4/23/93;;$0.00;114.0;
2;keepbusy_cross(SELL);Sell to Close;-114.0;$11.63;9/9/93;$328.88;$328.88;0.0;
3;keepbusy_cross(Buy);Buy to Open;52.0;$19.00;1/2/96;;$312.63;52.0;
4;keepbusy_cross(SELL);Sell to Close;-52.0;$17.21;1/5/96;($93.23);$235.65;0.0;
5;keepbusy_cross(Buy);Buy to Open;43.0;$22.88;9/13/96;;$273.28;43.0;
6;keepbusy_cross(SELL);Sell to Close;-43.0;$20.46;10/23/96;($103.64);$132.01;0.0;
7;keepbusy_cross(Buy);Buy to Open;31.0;$31.97;11/5/99;;$159.14;31.0;
8;keepbusy_cross(SELL);Sell to Close;-31.0;$30.55;12/13/99;($44.08);$87.94;0.0;
9;keepbusy_cross(Buy);Buy to Open;43.0;$23.01;11/8/02;;$98.47;43.0;
10;keepbusy_cross(SELL);Sell to Close;-43.0;$21.57;1/6/03;($61.65);$26.28;0.0;
11;keepbusy_cross(Buy);Buy to Open;26.0;$37.20;7/12/13;;$36.42;26.0;
12;keepbusy_cross(SELL);Sell to Close;-26.0;$36.23;7/30/13;($25.14);$1.14;0.0;
13;keepbusy_cross(Buy);Buy to Open;23.0;$41.75;8/22/14;;($23.24);23.0;
14;keepbusy_cross(SELL);Sell to Close;-23.0;$39.68;9/30/14;($47.69);($46.55);0.0;
15;keepbusy_cross(Buy);Buy to Open;22.0;$44.11;2/6/15;;($51.72);22.0;
16;keepbusy_cross(SELL);Sell to Close;-22.0;$46.53;5/7/15;$53.28;$6.73;0.0;
17;keepbusy_cross(Buy);Buy to Open;10.0;$91.48;7/13/18;;$6.03;10.0;
18;keepbusy_cross(SELL);Sell to Close;-10.0;$89.54;7/31/18;($19.38);($12.65);0.0;
19;keepbusy_cross(Buy);Buy to Open;4.0;$240.56;11/6/20;;($7.77);4.0;
20;keepbusy_cross(SELL);Sell to Close;-4.0;$217.81;11/19/20;($91.01);($103.66);0.0;
21;keepbusy_cross(Buy);Buy to Open;2.0;$409.71;5/19/23;;($106.08);2.0;
22;keepbusy_cross(SELL);Sell to Close;-2.0;$434.87;8/9/23;$50.31;($53.35);0.0;
23;keepbusy_cross(Buy);Buy to Open;2.0;$496.23;10/13/23;;($66.47);2.0;
24;keepbusy_cross(SELL);Sell to Close;-2.0;$455.95;10/26/23;($80.56);($133.91);0.0;


Max trade P/L: $328.88;

Total P/L: ($133.91);

Total order(s): 12;
