Strategy report
Symbol: SWTX
Work Time: 3/6/20 - 4/2/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;26.0;$37.95;3/6/20;;($65.78);26.0;
2;keepbusy_cross(SELL);Sell to Close;-26.0;$34.27;3/9/20;($95.70);($95.70);0.0;
3;keepbusy_cross(Buy);Buy to Open;23.0;$42.87;7/31/20;;($101.22);23.0;
4;keepbusy_cross(SELL);Sell to Close;-23.0;$41.08;8/17/20;($41.17);($136.87);0.0;
5;keepbusy_cross(Buy);Buy to Open;21.0;$46.55;9/18/20;;($87.73);21.0;
6;keepbusy_cross(SELL);Sell to Close;-21.0;$66.44;1/11/21;$417.68;$280.81;0.0;
7;keepbusy_cross(Buy);Buy to Open;32.0;$30.39;12/1/23;;$329.13;32.0;
8;keepbusy_cross(SELL);Sell to Close;-32.0;$46.55;4/2/24;$516.98;$797.79;0.0;


Max trade P/L: $516.98;

Total P/L: $797.79;

Total order(s): 4;
