Strategy report
Symbol: TAP
Work Time: 5/24/91 - 1/7/16


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;87.0;$11.44;5/24/91;;$5.44;87.0;
2;keepbusy_cross(SELL);Sell to Close;-87.0;$10.97;6/13/91;($40.29);($40.29);0.0;
3;keepbusy_cross(Buy);Buy to Open;85.0;$11.69;7/12/91;;($61.54);85.0;
4;keepbusy_cross(SELL);Sell to Close;-85.0;$11.09;7/17/91;($50.68);($90.97);0.0;
5;keepbusy_cross(Buy);Buy to Open;100.0;$10.00;7/22/94;;($78.47);100.0;
6;keepbusy_cross(SELL);Sell to Close;-100.0;$9.55;8/8/94;($45.17);($136.14);0.0;
7;keepbusy_cross(Buy);Buy to Open;93.0;$10.75;2/28/97;;($141.95);93.0;
8;keepbusy_cross(SELL);Sell to Close;-93.0;$9.97;4/2/97;($72.73);($208.87);0.0;
9;keepbusy_cross(Buy);Buy to Open;50.0;$19.81;8/14/98;;($215.12);50.0;
10;keepbusy_cross(SELL);Sell to Close;-50.0;$24.92;12/4/98;$255.17;$46.30;0.0;
11;keepbusy_cross(Buy);Buy to Open;29.0;$34.47;11/17/00;;$85.27;29.0;
12;keepbusy_cross(SELL);Sell to Close;-29.0;$33.60;1/5/01;($25.11);$21.19;0.0;
13;keepbusy_cross(Buy);Buy to Open;35.0;$27.96;2/15/02;;$33.44;35.0;
14;keepbusy_cross(SELL);Sell to Close;-35.0;$32.94;5/31/02;$174.56;$195.74;0.0;
15;keepbusy_cross(Buy);Buy to Open;29.0;$34.14;3/10/06;;$195.60;29.0;
16;keepbusy_cross(SELL);Sell to Close;-29.0;$33.69;5/4/06;($12.91);$182.83;0.0;
17;keepbusy_cross(Buy);Buy to Open;28.0;$35.08;8/18/06;;$171.63;28.0;
18;keepbusy_cross(SELL);Sell to Close;-28.0;$34.15;9/12/06;($25.95);$156.88;0.0;
19;keepbusy_cross(Buy);Buy to Open;18.0;$53.25;3/14/08;;$139.06;18.0;
20;keepbusy_cross(SELL);Sell to Close;-18.0;$51.41;3/18/08;($33.19);$123.70;0.0;
21;keepbusy_cross(Buy);Buy to Open;22.0;$43.93;6/11/10;;$118.20;22.0;
22;keepbusy_cross(SELL);Sell to Close;-22.0;$43.15;6/28/10;($17.10);$106.59;0.0;
23;keepbusy_cross(Buy);Buy to Open;21.0;$46.45;7/22/11;;$108.48;21.0;
24;keepbusy_cross(SELL);Sell to Close;-21.0;$45.57;7/28/11;($18.54);$88.05;0.0;
25;keepbusy_cross(Buy);Buy to Open;22.0;$44.21;1/18/13;;$101.91;22.0;
26;keepbusy_cross(SELL);Sell to Close;-22.0;$50.44;6/3/13;$137.10;$225.15;0.0;
27;keepbusy_cross(Buy);Buy to Open;18.0;$52.67;10/18/13;;$224.25;18.0;
28;keepbusy_cross(SELL);Sell to Close;-18.0;$52.19;12/3/13;($8.73);$216.43;0.0;
29;keepbusy_cross(Buy);Buy to Open;13.0;$74.90;8/15/14;;$215.91;13.0;
30;keepbusy_cross(SELL);Sell to Close;-13.0;$72.57;9/5/14;($30.26);$186.17;0.0;
31;keepbusy_cross(Buy);Buy to Open;12.0;$82.60;9/18/15;;$207.53;12.0;
32;keepbusy_cross(SELL);Sell to Close;-12.0;$91.11;1/7/16;$102.10;$288.26;0.0;
Max trade P/L: $255.17;Total P/L: $288.26;Total order(s): 16;
