Strategy report
Symbol: WDS
Work Time: 2/18/05 - 2/2/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;58.0;$17.20;2/18/05;;($8.70);58.0;
2;keepbusy_cross(SELL);Sell to Close;-58.0;$18.05;5/4/05;$49.30;$49.30;0.0;
3;keepbusy_cross(Buy);Buy to Open;21.0;$47.35;3/25/11;;$68.20;21.0;
4;keepbusy_cross(SELL);Sell to Close;-21.0;$47.00;5/17/11;($7.35);$41.95;0.0;
5;keepbusy_cross(Buy);Buy to Open;40.0;$24.70;8/26/22;;$36.75;40.0;
6;keepbusy_cross(SELL);Sell to Close;-40.0;$21.51;9/9/22;($127.60);($85.65);0.0;
7;keepbusy_cross(Buy);Buy to Open;39.0;$25.62;1/13/23;;($77.85);39.0;
8;keepbusy_cross(SELL);Sell to Close;-39.0;$24.89;2/2/23;($28.52);($114.17);0.0;


Max trade P/L: $49.30;

Total P/L: ($114.17);

Total order(s): 4;
