Strategy report
Symbol: WLK
Work Time: 2/9/07 - 10/31/22


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;57.0;$17.34;2/9/07;;($0.86);57.0;
2;keepbusy_cross(SELL);Sell to Close;-57.0;$16.41;2/21/07;($53.00);($53.00);0.0;
3;keepbusy_cross(Buy);Buy to Open;63.0;$15.65;8/10/07;;($102.14);63.0;
4;keepbusy_cross(SELL);Sell to Close;-63.0;$14.10;8/14/07;($97.06);($150.06);0.0;
5;keepbusy_cross(Buy);Buy to Open;18.0;$53.93;10/4/13;;($151.14);18.0;
6;keepbusy_cross(SELL);Sell to Close;-18.0;$57.88;1/27/14;$71.18;($78.88);0.0;
7;keepbusy_cross(Buy);Buy to Open;10.0;$95.16;3/12/21;;($84.08);10.0;
8;keepbusy_cross(SELL);Sell to Close;-10.0;$86.14;3/24/21;($90.17);($169.05);0.0;
9;keepbusy_cross(Buy);Buy to Open;9.0;$101.66;2/4/22;;($170.04);9.0;
10;keepbusy_cross(SELL);Sell to Close;-9.0;$123.56;5/23/22;$197.06;$28.00;0.0;
11;keepbusy_cross(Buy);Buy to Open;10.0;$98.29;10/28/22;;$26.10;10.0;
12;keepbusy_cross(SELL);Sell to Close;-10.0;$96.57;10/31/22;($17.20);$10.80;0.0;


Max trade P/L: $197.06;

Total P/L: $10.80;

Total order(s): 6;
