Strategy report
Symbol: WSFS
Work Time: 1/7/94 - 5/24/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;750.0;$1.33;1/7/94;;$62.50;750.0;
2;keepbusy_cross(SELL);Sell to Close;-750.0;$1.20;1/12/94;($100.16);($100.16);0.0;
3;keepbusy_cross(Buy);Buy to Open;750.0;$1.33;1/27/95;;($162.66);750.0;
4;keepbusy_cross(SELL);Sell to Close;-750.0;$1.25;3/15/95;($60.62);($160.78);0.0;
5;keepbusy_cross(Buy);Buy to Open;374.0;$2.67;10/6/95;;($51.70);374.0;
6;keepbusy_cross(SELL);Sell to Close;-374.0;$2.92;12/20/95;$93.50;($67.28);0.0;
7;keepbusy_cross(Buy);Buy to Open;60.0;$16.46;1/26/04;;($77.28);60.0;
8;keepbusy_cross(SELL);Sell to Close;-60.0;$16.40;4/8/04;($3.14);($70.42);0.0;
9;keepbusy_cross(Buy);Buy to Open;59.0;$16.90;7/30/04;;($88.90);59.0;
10;keepbusy_cross(SELL);Sell to Close;-59.0;$16.83;10/1/04;($3.74);($74.15);0.0;
11;keepbusy_cross(Buy);Buy to Open;46.0;$21.38;8/18/06;;($78.60);46.0;
12;keepbusy_cross(SELL);Sell to Close;-46.0;$20.55;9/26/06;($38.18);($112.33);0.0;
13;keepbusy_cross(Buy);Buy to Open;43.0;$23.18;2/2/07;;($95.99);43.0;
14;keepbusy_cross(SELL);Sell to Close;-43.0;$22.17;3/5/07;($43.76);($156.09);0.0;
15;keepbusy_cross(Buy);Buy to Open;45.0;$22.04;9/21/07;;($163.89);45.0;
16;keepbusy_cross(SELL);Sell to Close;-45.0;$21.00;9/25/07;($46.54);($202.63);0.0;
17;keepbusy_cross(Buy);Buy to Open;73.0;$13.66;3/30/12;;($202.15);73.0;
18;keepbusy_cross(SELL);Sell to Close;-73.0;$13.23;4/4/12;($31.28);($233.92);0.0;
19;keepbusy_cross(Buy);Buy to Open;67.0;$14.91;1/7/13;;($244.86);67.0;
20;keepbusy_cross(SELL);Sell to Close;-67.0;$15.64;4/5/13;$48.66;($185.26);0.0;
21;keepbusy_cross(Buy);Buy to Open;41.0;$24.00;8/8/14;;($173.50);41.0;
22;keepbusy_cross(SELL);Sell to Close;-41.0;$23.87;8/25/14;($5.38);($190.64);0.0;
23;keepbusy_cross(Buy);Buy to Open;38.0;$25.77;6/5/15;;($167.08);38.0;
24;keepbusy_cross(SELL);Sell to Close;-38.0;$27.54;8/24/15;$67.26;($123.38);0.0;
25;keepbusy_cross(Buy);Buy to Open;24.0;$40.55;11/18/16;;($111.38);24.0;
26;keepbusy_cross(SELL);Sell to Close;-24.0;$44.03;2/3/17;$83.53;($39.85);0.0;
27;keepbusy_cross(Buy);Buy to Open;19.0;$50.85;1/22/18;;($47.45);19.0;
28;keepbusy_cross(SELL);Sell to Close;-19.0;$49.08;2/6/18;($33.64);($73.49);0.0;
29;keepbusy_cross(Buy);Buy to Open;22.0;$44.17;12/20/19;;($67.99);22.0;
30;keepbusy_cross(SELL);Sell to Close;-22.0;$43.74;1/3/20;($9.43);($82.92);0.0;
31;keepbusy_cross(Buy);Buy to Open;19.0;$51.31;10/1/21;;($65.63);19.0;
32;keepbusy_cross(SELL);Sell to Close;-19.0;$51.23;11/29/21;($1.47);($84.39);0.0;
33;keepbusy_cross(Buy);Buy to Open;21.0;$46.50;5/10/24;;($91.11);21.0;
34;keepbusy_cross(SELL);Sell to Close;-21.0;$43.84;5/24/24;($55.85);($140.24);0.0;


Max trade P/L: $93.50;

Total P/L: ($140.24);

Total order(s): 17;
