Strategy report
Symbol: WST
Work Time: 10/28/88 - 7/11/17


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;283.0;$3.53;10/28/88;;$0.00;283.0;
2;keepbusy_cross(SELL);Sell to Close;-283.0;$3.46;11/15/88;($20.96);($20.96);0.0;
3;keepbusy_cross(Buy);Buy to Open;141.0;$7.06;5/23/97;;$5.48;141.0;
4;keepbusy_cross(SELL);Sell to Close;-141.0;$7.08;6/23/97;$2.50;($18.46);0.0;
5;keepbusy_cross(Buy);Buy to Open;123.0;$8.11;4/24/98;;($43.45);123.0;
6;keepbusy_cross(SELL);Sell to Close;-123.0;$7.75;4/28/98;($44.33);($62.79);0.0;
7;keepbusy_cross(Buy);Buy to Open;154.0;$6.45;4/20/01;;($59.33);154.0;
8;keepbusy_cross(SELL);Sell to Close;-154.0;$6.54;6/28/01;$13.46;($49.34);0.0;
9;keepbusy_cross(Buy);Buy to Open;38.0;$25.75;5/4/07;;($44.02);38.0;
10;keepbusy_cross(SELL);Sell to Close;-38.0;$24.23;6/13/07;($57.76);($107.10);0.0;
11;keepbusy_cross(Buy);Buy to Open;28.0;$35.14;6/28/13;;($107.24);28.0;
12;keepbusy_cross(SELL);Sell to Close;-28.0;$36.80;9/9/13;$46.71;($60.39);0.0;
13;keepbusy_cross(Buy);Buy to Open;25.0;$39.47;9/13/13;;($59.52);25.0;
14;keepbusy_cross(SELL);Sell to Close;-25.0;$48.54;1/27/14;$226.94;$166.55;0.0;
15;keepbusy_cross(Buy);Buy to Open;22.0;$44.05;8/22/14;;$158.19;22.0;
16;keepbusy_cross(SELL);Sell to Close;-22.0;$50.74;1/7/15;$147.09;$313.64;0.0;
17;keepbusy_cross(Buy);Buy to Open;10.0;$92.69;4/28/17;;$307.04;10.0;
18;keepbusy_cross(SELL);Sell to Close;-10.0;$93.75;7/11/17;$10.60;$324.24;0.0;


Max trade P/L: $226.94;

Total P/L: $324.24;

Total order(s): 9;
