Strategy report
Symbol: ERIE
Work Time: 1/2/01 - 10/30/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;keepbusy_cross(Buy);Buy to Open;35.0;$27.81;1/2/01;;$6.56;35.0;
2;keepbusy_cross(SELL);Sell to Close;-35.0;$26.53;1/4/01;($44.85);($44.85);0.0;
3;keepbusy_cross(Buy);Buy to Open;27.0;$36.40;9/28/01;;($13.80);27.0;
4;keepbusy_cross(SELL);Sell to Close;-27.0;$36.11;11/1/01;($7.84);($52.70);0.0;
5;keepbusy_cross(Buy);Buy to Open;19.0;$50.46;11/5/04;;($55.74);19.0;
6;keepbusy_cross(SELL);Sell to Close;-19.0;$49.15;12/21/04;($24.89);($77.59);0.0;
7;keepbusy_cross(Buy);Buy to Open;18.0;$53.90;5/11/07;;($77.77);18.0;
8;keepbusy_cross(SELL);Sell to Close;-18.0;$52.31;5/29/07;($28.67);($106.25);0.0;
9;keepbusy_cross(Buy);Buy to Open;28.0;$35.31;12/11/09;;($96.73);28.0;
10;keepbusy_cross(SELL);Sell to Close;-28.0;$36.13;2/8/10;$22.96;($83.29);0.0;
11;keepbusy_cross(Buy);Buy to Open;13.0;$75.33;12/23/11;;($81.21);13.0;
12;keepbusy_cross(SELL);Sell to Close;-13.0;$73.99;1/5/12;($17.45);($100.75);0.0;
13;keepbusy_cross(Buy);Buy to Open;13.0;$73.60;8/15/14;;($99.97);13.0;
14;keepbusy_cross(SELL);Sell to Close;-13.0;$73.46;9/29/14;($1.88);($102.62);0.0;
15;keepbusy_cross(Buy);Buy to Open;10.0;$97.34;7/1/16;;($118.62);10.0;
16;keepbusy_cross(SELL);Sell to Close;-10.0;$94.59;7/20/16;($27.50);($130.12);0.0;
17;keepbusy_cross(Buy);Buy to Open;10.0;$98.80;9/30/16;;($117.42);10.0;
18;keepbusy_cross(SELL);Sell to Close;-10.0;$97.41;10/4/16;($13.88);($144.01);0.0;
19;keepbusy_cross(Buy);Buy to Open;7.0;$135.86;1/11/19;;($141.84);7.0;
20;keepbusy_cross(SELL);Sell to Close;-7.0;$232.68;7/29/19;$677.75;$533.74;0.0;
21;keepbusy_cross(Buy);Buy to Open;4.0;$245.68;12/18/20;;$541.62;4.0;
22;keepbusy_cross(SELL);Sell to Close;-4.0;$238.37;1/25/21;($29.24);$504.50;0.0;
23;keepbusy_cross(Buy);Buy to Open;3.0;$250.14;2/5/21;;$526.67;3.0;
24;keepbusy_cross(SELL);Sell to Close;-3.0;$244.08;2/25/21;($18.19);$486.31;0.0;
25;keepbusy_cross(Buy);Buy to Open;5.0;$177.43;6/10/22;;$473.26;5.0;
26;keepbusy_cross(SELL);Sell to Close;-5.0;$174.92;6/13/22;($12.53);$473.79;0.0;
27;keepbusy_cross(Buy);Buy to Open;3.0;$267.28;8/4/23;;$494.52;3.0;
28;keepbusy_cross(SELL);Sell to Close;-3.0;$289.13;10/30/23;$65.55;$539.34;0.0;


Max trade P/L: $677.75;

Total P/L: $539.34;

Total order(s): 14;
